Overheid,Regeling,Ontvanger,Beleid,Realisatie,Jaar
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,14360.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,24438.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,9025.54,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,11104.64,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5041.34,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,11312.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1835.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,16555.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5528.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2688.87,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,10281.7,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,20774.78,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,13868.59,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,12425,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3124.31,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2649.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2429.92,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2167.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3117.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2271.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2549.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1927.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2125.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2654.57,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2469.06,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2834.07,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3040.62,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1342.81,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3045.61,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3078.12,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3125,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,25000,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2493.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,16089.02,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,22789.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,24006.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,8666.69,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1950.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2031.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1601.56,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2502.22,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2343.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3053.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3378.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1874.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3093.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2672.66,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,14148.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2168.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2500,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2215.94,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2489.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,13730.36,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,10000.73,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6762,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,25000,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4165.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2843.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1496.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,7505,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3692.81,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3502.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3547.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5465.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4000,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6748.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3587.06,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1560.31,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5262.31,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2801.12,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2187.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1835.31,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,19729.31,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2479.76,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3367.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3824.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3121.87,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2393.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1429,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1903.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1612.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3104.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2875,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2765.62,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2970.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,13693.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3692.81,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,10647.02,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4095,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1352.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3093.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1490.4,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2328.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3089.69,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5478.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4472.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4562.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2327.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2078.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1734.81,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5896.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1702.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2906.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1812.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3565.94,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2329.37,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1731.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,11261,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4257.56,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2728.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4060.94,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6856.87,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2593.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,558.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2944.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1557.31,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2110.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2215.41,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2243.82,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2630.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2802.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2813.19,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2993,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3234.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3276.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2981.24,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3437.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3174.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3734.32,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2402.72,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3582.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4141.64,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4253.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4376.45,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4409.04,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4440,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4547.09,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4375,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4949.86,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,4994.96,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5008.81,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5018.99,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5362.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5699.01,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5901.82,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5936.32,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5312.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6203.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6381.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6494.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5812.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,5903.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,6937.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,7194.38,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,7591.08,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,7687.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2821.16,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1312.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1315.63,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1312.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1356.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1292.82,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1365.75,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1399.04,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1434.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1732.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1751.58,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1762.47,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1265.05,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1910.13,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1962.89,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1750,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1986.78,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,25000,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2233,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2336.87,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2275.5,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2401.65,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2457.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1957.2,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2524.9,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1599.82,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2543.54,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2652.65,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,1850.59,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2826.25,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2899.93,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2799.3,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2918.57,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2933.44,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2065.1,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2961.88,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,2376.07,2015
Ministerie van Economische Zaken,"Duurzaamheidsinvesteringen (POP-Nieuwe Uitdagingen), incl. onderdeel IRE",X,16,3062.5,2015
