AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Stichting Gereformeerd Voortgezet Onderwijs Oost-Nederland p/a de Inkoop Adviesgroep b.v.,322263862,Campus 5,ZWOLLE,8017CB,Nederland,http://www.greijdanus.nl
Gemeente Sint-Oedenrode,1395676,Burgemeester Wernerplein 1,Sint-Oedenrode,5492 GD,Nederland,http://www.sint-oedenrode.nl
Provincie Limburg,361633343,p/a Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
Rijkswaterstaat Verkeer en Watermanagement (VWM),361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.rijkswaterstaat.nl
GVB Infra BV,5953591,Arlandaweg 106,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Gemeente Vlaardingen,6116978,Markt 11,Vlaardingen,3131 CR,Nederland,http://www.vlaardingen.nl
Sense FM voor Gemeente Deventer,52675118,Grebbeberglaan 15 4,Utrecht,3527VX,Nederland,http://www.sensefm.nl
Gemeente Ferwerderadiel (AD),24691071,Hegebeintumerdyk 2,Ferwert,9172PJ,Nederland,http://www.ferwerderadiel.nl
GGD West-Brabant,521718727,Doornboslaan 225,Breda,4816 CZ,Nederland,http://www.ggdwestbrabant.nl
NedTrain B.V.,41680548,Stationshal 15 100,UTRECHT,3511 CE Utrecht,Nederland,http://www.NedTrain.nl
Werkorganisatie Duivenvoorde,141826381,Johan de Wittstraat 45,Wassenaar,2240 AL,Nederland,http://www.werkorganisatieduivenvoorde.nl
N.V. Waterleidingmaatschappij Drenthe,22549026,9405BL 3,ASSEN,9405BL,Nederland,
Stichting Samenwerking Beroepsonderwijs Bedrijfsleven p/a De Inkoop Adviesgroep b.v.,9741962,Boris Pasternaklaan 4,ZOETERMEER,2719DA,Nederland,http://www.s-bb.nl
Nuclear Research and Consultancy Group,571898325,Westerduinweg 3,PETTEN,1755LE,Nederland,http://www.nrg.eu
Delta Infra B.V.,11819272,4335JA 10,MIDDELBURG,4335JA,Nederland,
Stichting Incident Management Nederland,17802656,Mauritskade 5,S-GRAVENHAGE,2514HC,Nederland,http://www.stichtingimn.nl
Anculus namens Stichting SPON,111666361,De Bogert 31,Eindhoven,5612LX,Nederland,http://www.anculus.nl
Regio West-Brabant,1582806,Trivium 76,Etten-Leur,4873 LP,Nederland,http://www.west-brabant.eu
Gemeente Beek,4502576,Raadhuisstraat 9,Beek,6191AA,Nederland,http://www.gemeentebeek.nl
Defensie Materieel Organisatie,291855282,Herculeslaan 1,Utrecht,3584 AB,Nederland,http://www.defensie.nl
Gemeente Oldenzaal,56675377,Ganzenmarkt 1,OLDENZAAL,7571CD,Nederland,http://www.oldenzaal.nl
Stichting De Blauwe Loper,8755923,W.M. Dudokweg 47,HEERHUGOWAARD,1703DA,Nederland,http://www.deblauweloper.nl
NUON Power Generation B.V.,58522675,Petroleumhavenweg 1,Amsterdam,1041 AB,Nederland,
Gemeente Zwolle,401747134,p/a Luttenbergstraat 2,Zwolle,8012 EE,Nederland,http://www.zwolle.nl
Veiligheidsregio Noord Holland Noord,61711067,Hertog Aalbrechtweg 22,ALKMAAR,1823DL,Nederland,http://www.veiligheidsregio-nhn.nl
Hogeschool Utrecht,581766742,Oudenoord 330,Utrecht,3513EX,Nederland,http://www.hu.nl
Stichting Dunamare Onderwijsgroep,221617327,2033AP 5,HAARLEM,2033AP,Nederland,
"Gemeente Den Haag, afd. Markten",221909103,Herman Costerstraat 53,Den Haag,2571 PB,Nederland,http://www.denhaag.nl
"De Basis, Primus en Gearhing",241635471,Iepenlaan 2,Heerenveen,8441BT,Nederland,http://www.debasisheerenveen.nl
"""Samen tussen Amstel en IJ"", Stichting voor Openbaar Primair Onderwijs",42076686,Cruquiusweg 68,Amsterdam,1019 AH,Nederland,
Stichting Regionaal Openbaar Basisonderwijs Surplus,571947380,p/a Aagje Dekenstraat 51,Zwolle,8023 BZ,Nederland,
Samenwerking A2 gemeenten,571750753,5591 HS 2,Heeze-Leende,5591 HS,Nederland,
Stichting voor openbaar onderwijs Odyssee,321986916,Bredyk 4,SNEEK,8601ZD,Nederland,
Rijksvastgoedbedrijf,552550970,Herculeslaan 1,Utrecht,3509 AA,Nederland,http://www.rijksvastgoedbedrijf.nl
Stichting Christelijk Onderwijs Haaglanden,52412501,Laan van Meerdervoort 70,S-GRAVENHAGE,2517AN,Nederland,http://www.scoh.nl
Gemeente Molenwaard,591952644,Voorstraat 88,Groot-Ammers,2964 AL,Nederland,http://www.gemeentemolenwaard.nl
Stichting voor Algemeen Toegankelijk Onderwijs Eindhoven e.o.,1072217,Odysseuslaan 2,EINDHOVEN,5631JM,Nederland,http://salto-eindhoven.nl
Stichting Orthopedagogische Onderwijsinstellingen Arnhem en omstreken,39689153,Vossenstraat 6,ARNHEM,6811JL,Nederland,http://www.deradar.nl
Stroomopwaarts MVS,321968411,Van Berckenrodestraat 6,Schiedam,3113 AM,Nederland,
Centrum Indicatiestelling Zorg (ZBO),391893965,Princenhof Park 3,DRIEBERGEN-RIJSENBURG,3972NG,Nederland,http://www.ciz.nl
GVB Activa B.V.,19664070,1043 HP 106,AMSTERDAM,1043 HP,Nederland,
Kanselarij der Nederlandse Orden,41335830,Nassaulaan 18,Den Haag,2514 JT,Nederland,http://www.lintjes.nl
Gemeente Dongen,152017676,Hoge Ham 62,Dongen,5104 JJ,Nederland,http://www.dongen.nl
Gemeente Kampen p/a SSC,221853294,Luttenbergstraat 2,Zwolle,8012 EE,Nederland,http://www.kampen.nl
Gemeente Valkenburg aan de Geul,161914996,Geneindestraat 4,Valkenburg aan de Geul,6301 HC,Nederland,
Gemeente Uithoorn,262273306,Laan van Meerwijk 16,Uithoorn,1423 AJ,Nederland,http://www.uithoorn.nl
Gemeente Waddinxveen,151956746,2741 HR 1,Waddinxveen,2741 HR,Nederland,
Stichting Katholieke Basisscholen Amsterdam,441886388,Kalfjeslaan 380,AMSTERDAM,1081JA,Nederland,http://www.askoscholen.nl
Ambulance Amsterdam B.V.,60527908,Karperweg 19,Amsterdam,1075 LB,Nederland,http://www.tenderned.nl
NPO,46523827,1217ZL 2,HILVERSUM,1217ZL,Nederland,
Stichting voor Voortgezet Onderwijs Lelystad,411877460,Lindelaan 99,Lelystad,8224 KR,Nederland,http://www.svol.nl
Stichting EP-Nuffic,38704749,Kortenaerkade 11,S-GRAVENHAGE,2518AX,Nederland,http://www.nuffic.nl
Stichting Voortgezet Onderwijs Kennemerlansd,501690419,p/a Het Onderwijskantoor VSA 21,Heerlen,6417 BK,Nederland,http://www.svok.nl
Stichting Librijn Openbaar Onderwijs,322055481,Papsouwselaan 119,DELFT,2624AK,Nederland,http://www.librijn.nl
Gemeente Westerveld,231994310,7981EL 1,Diever,7981EL,Nederland,
Gemeente Bernheze,92135357,5384BZ 6,HEESCH,5384BZ,Nederland,
IKNL,131752069,Godebaldkwartier 419,UTRECHT,3511DT,Nederland,http://www.iknl.nl
"Ministerie van Economische Zaken, Dienst ICT Uitvoering",151733690,Bezuidenhoutseweg 73,Den Haag,2594 AC,Nederland,http://www.rijksoverheid.nl/ministeries/ez
Stichting Primo Schiedam,50452602,3134ZB 77,VLAARDINGEN,3134ZB,Nederland,
Autoriteit Consument en Markt,451760013,Muzenstraat 41,Den Haag,2511 WB,Nederland,http://www.acm.nl
De Waerdenborch Openbare Scholengemeenschap,352273619,Gruttostraat 1,Goor,7471 EP,Nederland,http://www.waerdenborch.nl/contact
Gemeente Haarlem,50647371,Gedempte Oude Gracht 2,Haarlem,2011 GR,Nederland,http://www.haarlem.nl
Centraal Justitieel Incassobureau,211658528,Tesselschadestraat 140,Leeuwarden,8913 HC,Nederland,http://www.cjib.nl
ISHW,452072914,3299XG 22,MAASDAM,3299XG,Nederland,
Gemeente Veldhoven,482173060,5500 GA 1,Veldhoven,5500 GA,Nederland,
Veiligheidsregio Noord-Holland Noord,61711067,Hertog Aalbrechtweg 22,ALKMAAR,1823DL,Nederland,http://www.veiligheidsregio-nhn.nl
Nederlandse Voedsel- en Warenautoriteit,171631515,Catharijnesingel 59,Utrecht,3511 GG,Nederland,http://www.nvwa.nl
Vereniging van Zeeuwse Gemeenten,591890336,4337PA 3,Middelburg,4337PA,Nederland,
"Gemeente Amsterdam, Metro en Tram",56492684,Stationsplein 7,Amsterdam,1012 AB,Nederland,
Stichting Bio Base Europe Training Center,33768739,4538CA 2,TERNEUZEN,4538CA,Nederland,
"Dienst Stadsontwikkeling en -beheer, sector Ruimtelijke Ontwikkeling en Inrichting van de gemeente Leeuwarden",61769470,Oldehoofsterkerkhof 2,LEEUWARDEN,8911DH,Nederland,http://www.leeuwarden.nl
"Ministerie van Defensie, Koninklijke Marine",412151249,Rijks Zee- en Marinehaven 1,Den Helder,1780 CA,Nederland,
Stichting Het Poortje Jeugdinrichtingen,461859204,Hoogeweg 9,Groningen,9746 TN,Nederland,
Rijksvastgoedbedrijf,271880387,Korte Voorhout 7,Den Haag,2511 CW,Nederland,http://www.rijksvastgoedbedrijf.nl
Gemeente Deventer,52675118,Polstraat 7,DEVENTER,7411 KA,Nederland,http://www.deventer.nl
Stichting Studiekeuze123,341845219,Arthur van Schendelstraat 600,UTRECHT,3511MJ,Nederland,http://www.studiekeuze123.nl
Gemeenschappelijke Regeling Samenwerking Kempengemeenten,9675563,5571 HB 1,Bergeijk,5571 HB,Nederland,
Gemeente Nederweert,81905231,6031VR 1,NEDERWEERT,6031VR,Nederland,
Stichting voor christelijk onderwijs te Alphen aan den Rijn en omstreken,51704052,2404XC 4,ALPHEN AAN DEN RIJN,2404XC,Nederland,
Gemeente Utrecht,71663234,Stadsplateau 1,UTRECHT,3521 AZ,Nederland,http://www.gbi-participatiewet.nl
Europese School Bergen,2744170,Molenweidtje 5,Bergen NH,1862 BC,Nederland,http://esbergen.eu/nl
Stichting SiNTLUCAS,31802094,5653AD 1,EINDHOVEN,5653AD,Nederland,
Omrin - Afvalsturing Friesland NV,332079061,Hidalgoweg 5,Leeuwarden,8938 BA,Nederland,http://www.omrin.nl
Task Force Delta Technology namens Waterschap Noorderzijlvest,202044728,Stedumermaar 1,Groningen,9735 AC,Nederland,http://www.noorderzijlvest.nl
Stichting Carmelcollege,30711793,p/a Akerstraat 104,Heerlen,6417 BN,Nederland,
Directie Forensische Zorg van de Dienst JustitiÃƒÂ«le Inrichtingen,231960634,Turfmarkt 147,Den Haag,2511 DP,Nederland,http://www.forensischezorg.nl
Ministerie van Sociale Zaken en Werkgelegenheid,19637402,2511 VX 5,Den Haag,2511 VX,Nederland,
GGD Noord- en Oost-Gelderland vestiging Apeldoorn,41407676,Deventerstraat 19,APELDOORN,7311 BH,Nederland,http://www.ggdnog.nl
N.V. Nuon Energy,402297103,1102 BR 8,AMSTERDAM,1102 BR,Nederland,
Wetterskip FryslÃƒÂ¢n,151806378,FranÃƒÂ§ois HaverSchmidtwei 2,LEEUWARDEN,8914 BC,Nederland,http://www.wetterskipfryslan.nl
Stichting SchOOL (Scholengroep Openbaar Onderwijs Lelystad),44637073,Meenthoek 1,Lelystad,8224 BS,Nederland,http://www.stichtingschool.nl
De Bouwcampus - Rijkswaterstaat,361633343,Griffioenlaan 2,Utrecht,3526 LA,Nederland,http://www.debouwcampus.nl
OVER-gemeenten,421952199,Koetserstraat 3,Wormer,1531 NX,Nederland,http://www.over-gemeenten.nl
Gemeente Katwijk,48716944,Koningin Julianalaan 3,Katwijk ZH,2224 EW,Nederland,http://www.katwijk.nl
Ministerie van Financien,81632927,Korte Voorhout 7,Den Haag,2511 CW,Nederland,http://www.rijksoverheid.nl/ministeries/fin
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Eusebiusbuitensingel 66 2,Arnhem,6828 HZ,Nederland,http://www.rijkswaterstaat.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,https://portal.commerce-hub.com/index.cfm?action=sourcing:__requestform.subscribe&document=D2F9B15A-08DF-A678-A25C063D2A68BB8E
Gemeente Gulpen-Wittem,10498074,6271DA 12,GULPEN,6271DA,Nederland,
Gemeente Enkhuizen namens deze de SED organisatie,17705740,postbus 20,Bovenkarspel,1610 AA,Nederland,http://www.enkhuizen.nl
"Rijkswaterstaat Water, Verkeer en Leefomgeving",482071032,Lange Kleiweg 34,Rijswijk,2288GK,Nederland,http://www.rijkswaterstaat.nl
IUC-Noord,211658528,Cascadeplein 2,Groningen,9726 AD,Nederland,http://www.iuc-noord.nl
Anna van Rijn College,531654849,3438 ED 1,Nieuwegein,3438 ED,Nederland,
"Ministerie van Defensie, Commando Dienstencentra (CDC)",552550970,Herculeslaan 1,Utrecht,3584 AB,Nederland,
Stichting VMBO Hengelo,291548056,7552EB 16,Hengelo,7552EB,Nederland,
Gemeente Stadskanaal,935671,Raadhuisplein 1,Stadskanaal,9501 SZ,Nederland,http://www.stadskanaal.nl
GVB Infra B.V.,81781884,Arlandaweg 106,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
V.O.F. Leidschendam-Centrum,111792390,Postbus 1005,Leidschendam,2260 AB,Nederland,
"Gemeente Amsterdam, afdeling ICT",512131934,Cruquiusweg 5,Amsterdam,1019 AT,Nederland,http://www.amsterdam.nl/gemeente/organisatie-diensten/sites/dienst_ict/
Onderwijsstichting ARCADE,31715445,Vechtstraat 5,HARDENBERG,7772AX,Nederland,http://www.onderwijsstichtingarcade.nl
Circulus-Berkel B.V.,34676550,7332BK 16,APELDOORN,7332BK,Nederland,
Wetterskip FryslÃƒÂ¢n,151806378,Harlingerstraatweg 113,LEEUWARDEN,8914AZ,Nederland,http://www.wetterskipfryslan.nl
Hoef en Haag CV,1675117,Postbus 1 30,Amersfoort,3800 AA,Nederland,http://www.hoefenhaag.nl
Stichting Studielink,332265747,3511 GC 53,Utrecht,3511 GC,Nederland,
"""Facilitaire Samenwerking Bevolkingsonderzoeken in coÃƒÂ¶peratief verband met uitsluiting van aansprakelijkheid (U.A.)""",172143209,P/A Postbus 514,Gouda,2800 AM,Nederland,
Gemeente Zoetermeer,71952436,Prismalaan West 1,Bleiswijk,2665 PC,Nederland,http://www.zoetermeer.nl
Gemeente Gemert-Bakel,271675751,5421 CV 1,Gemert,5421 CV,Nederland,
"Ministerie van Defensie, Defensie Materieel Organisatie, Inkoop IT",431575409,3584AB 1,Utrecht,3584AB,Nederland,
Eneco Warmte & Koude B.V.,262149085,Marten Meesweg 5,Rotterdam,3068 AV,Nederland,http://www.eneco.nl
Anculus namens Agora Zaanstreek,242084510,Bogert 31,Eindhoven,5612LX,Nederland,http://www.anculus.nl
Amsterdam Protonen Therapie Centrum B.V.,342145003,Plesmanlaan 121,AMSTERDAM,1066CX,Nederland,
Gemeente Westvoorne,592160050,Raadhuislaan 6,Rockanje,3235 AP,Nederland,http://www.westvoorne.nl
Gemeente Duiven/RID De Liemers,161596305,t.a.v. postbus 1015,Alkmaar,1810 KA,Nederland,http://www.rhvo.nl
Stichting Leiden Bio Science Park Foundation p/a Het NIC B.V.,421677073,Hanzeallee 34,Zwolle,8017KZ,Nederland,http://www.leidenbiosciencepark.nl
Gemeente Oude IJsselstreek,82063172,t.a.v. postbus 1015,Alkmaar,1810 KA,Nederland,http://www.rhvo.nl
Gemeente Enkhuizen namens deze de SED organisatie,17705740,postbus 20,Bovenkarspel,1610AA,Nederland,http://www.enkhuizen.nl
Gemeentelijk Belastingkantoor Twente,451927574,Hazenweg 121,HENGELO OV,7556BM,Nederland,http://www.gbtwente.nl
Midden Limburgse gemeenten,61537397,Markt 31,Roermond,6041 EM,Nederland,http://www.roermond.nl
Gemeente Nuenen,122154657,5671 CK 2,Nuenen,5671 CK,Nederland,
"Ministerie van Algemene Zaken, Dienst Publiek en Communicatie",53688887,Buitenhof 34,DEN HAAG,2513 AH,Nederland,http://www.rijksoverheid.nl/dpc
Landstede,241800562,Rechterland 1,ZWOLLE,8024 AH,Nederland,http://www.landstede.nl
Gemeentehuis Oegstgeest,4792062,Rhijngeesterstraatweg 13,OEGSTGEEST,2342AN,Nederland,http://www.oegstgeest.nl
"Ministerie van Binnenlandse Zaken, Rijksvastgoedbedrijf (RVB)",271880387,Herculeslaan 1,Utrecht,3584AB,Nederland,http://www.rijksvastgoedbedrijf.nl
"Gemeente Amsterdam, Grond en Ontwikkeling, Amstelkwartier",471769829,Weesperplein 8,Amsterdam,1018XA,Nederland,http://www.amsterdam.nl/houthaven
Aloysius Stichting Onderwijs Jeugdzorg Stafbureau handelend als penvoerder voor Cooperatie KEC Weert UA,37731875,Leidsevaart 2,Voorhout,2215 RE,Nederland,
Viviani,331883283,Vasco da Gamastraat 18,Emmen,7825 VJ,Nederland,http://www.viviani.nl
Stichting Primo Schiedam,50452602,Burg Van Lierplein 77,VLAARDINGEN,3134ZB,Nederland,http://www.primoschiedam.nl
"Gemeente Amsterdam, Metro en Tram",56492684,Entrada 702,Amsterdam,1114 AA,Nederland,
Vereniging Christelijk Voortgezet Onderwijs Rotterdam en omstreken,381738089,p/a Het Onderwijskantoor 1,Heerlen,6417 BK,Nederland,http://www.cvo.nl
Gemeente Nissewaard,6246622,3201EL 106,SPIJKENISSE,3201EL,Nederland,
Defensie Materieel Organisatie/MATLOG/Afdeling Verwerving Projecten,291855282,Van Alkemadelaan 786,Den haag,2597BC,Nederland,http://www.defensie.nl
Gemeente Noordwijkerhout,321630946,Herenweg 4,Noordwijkerhout,2211 CC,Nederland,http://www.noordwijkerhout.nl
"Gemeente Eindhoven, Sector Ruimtelijke Expertise",261529808,Postbus 90150,Eindhoven,5600 RB,Nederland,http://www.eindhoven.nl
Stichting O.R.S. Lek en Linge,161676310,Multatulilaan 6,Culemborg,4103 NM,Nederland,http://www.lekenlinge.nl/lingeborgh
CoÃƒÂ¶peratieve Vereniging Midwaste Milieu UA,201809692,2627 AT 99,DELFT,2627 AT,Nederland,
Stichting Onderwijsgroep Galilei,322333191,3201LT 61,SPIJKENISSE,3201LT,Nederland,
Veiligheidsregio Drenthe,422084437,Mien Ruysweg 1,ASSEN,9408KA,Nederland,http://www.vrd.nl
Veiligheidsregio Gooi en Vechtstreek,412087822,Kamerlingh Onnesweg 148,Hilversum,1223 JN,Nederland,http://www.brandweer.nl
"""Stichting voor Christelijk Voortgezet Onderwijs voor Zuidoost-Utrecht""",182049362,Graaf Adolflaan 4,Zeist,3708 XB,Nederland,http://www.cvog.nl
Anculus namens PCBO Amersfoort,2620597,Bogert 31,EINDHOVEN,5612 LX,Nederland,http://www.anculus.nl
Gemeente Putten,321830509,3881 BZ 1,Putten,3881 BZ,Nederland,
BelvÃƒÂ©dÃƒÂ¨re Wijkontwikkelingsmaatschappij BV,202214754,Boschstraat 24,Maastricht,6211 AX,Nederland,http://www.belvedere-maastricht.nl
NS Poort Ontwikkeling BV,41680548,Stationshal 17,UTRECHT,3500 GM,Nederland,http://www.ns.nl
"Stichting Codarts, Hogeschool voor de Kunsten",211752723,Kruisplein 26,ROTTERDAM,3012CC,Nederland,http://www.codarts.nl
Stichting FloodControl-IJkdijk,152528268,Lorentzpark 7,GRONINGEN,9351 VJ,Nederland,http://www.floodcontrol-ijkdijk.nl
Provincie Drenthe,22440214,Westerbrink 1,ASSEN,9405 BJ,Nederland,http://www.ruddrenthe.nl
Veiligheidsregio IJsselland,501670931,Marsweg 39,Zwolle,8013 PE,Nederland,http://www.vrijsselland.nl
Gemeente Voorschoten,141826381,Leidseweg 25,Voorschoten,2252 LA,Nederland,http://www.voorschoten.nl
Provincie Utrecht,978643,Archimedeslaan 6,Utrecht,3584 BA,Nederland,http://www.provincie-utrecht.nl
Vereniging Christelijk Onderwijs Sliedrecht (V.C.O.S.),49651095,Dr. Langeveldplein 30,SLIEDRECHT,3361HE,Nederland,http://www.vcos.nl
Braassemerland V.O.F.,251649446,Westeinde 1,ROELOFARENDSVEEN,2371AS,Nederland,http://www.braassemerland.nl
Vitens N.V.,581609888,Oude Veerweg 1,ZWOLLE,8019 BE,Nederland,http://www.vitens.nl
Gemeente Hilvarenbeek,22787795,Vrijthof 10,HILVARENBEEK,5081CA,Nederland,http://www.hilvarenbeek.nl
UWV,48467678,La Guardiaweg 114,Amsterdam,1043 DL,Nederland,http://www.uwv.nl
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41335830,Turfmarkt 147,Den Haag,2511 DP,Nederland,http://www.rijksoverheid.nl/ministeries/bzk
Gemeenschappelijke Regeling Nieuw Reijerwaard,192125297,Verbindingsweg 38,RIDDERKERK,2988CE,Nederland,http://www.nieuwreijerwaard.eu
Stichting Openbaar Voortgezet Onderwijs Zaanstad,51748938,1506DE 77,ZAANDAM,1506DE,Nederland,
Immigratie- en Naturalisatiedienst,9672141,Dr. H. Colijnlaan 306,Rijswijk,2283 ZA,Nederland,http://www.ind.nl
Stichting EP-Nuffic,38704749,Kortenaerkade 11,S-GRAVENHAGE,2518AX,Nederland,http://www.epnuffic.nl
SURFnet B.V.,412239709,Moreelsepark 48,UTRECHT,3511EP,Nederland,http://www.surfnet.nl
"Stichting openbaar primair onderwijs Appingedam, Bedum, Delfzijl, Loppersum en Ten Boer",281756084,Wijmersweg 43,LOPPERSUM,9919BJ,Nederland,http://www.marenland.org
Nuenen West B.V.,27711024,Kerkstraat 7,NUENEN,5671 GN,Nederland,
Stichting Museum voor Industrie en Samenleving,192008715,Museumplein 2,KERKRADE,6461 MA,Nederland,http://www.continium.nl
Brandweer Amsterdam-Amstelland,291856362,Pier Afrika 8,Amsterdam,1013 BK,Nederland,http://www.brandweer.nl/amsterdam-amstelland
Stichting voor openbaar onderwijs in Dordrecht,30397388,Overkampweg 125,Dordrecht,3318 AN,Nederland,http://www.dalton-dordrecht.nl
Radboud Universitair Medisch Centrum,221778972,Geert Grooteplein-Zuid (route 236) 10,Nijmegen,6525GA,Nederland,http://www.radboudumc.nl
Regio Twente,72240513,7511JM 30,ENSCHEDE,7511JM,Nederland,
Rif Facility Management B.V.,50665968,Valkstraat 14,SITTARD,6135GC,Nederland,http://www.koraalgroep.nl
Anculus namens Delta,391857486,Bogert 31,Eindhoven,5612 LX,Nederland,http://www.anculus.nl
"Gemeenten Doesburg, Lingewaard, Overbetuwe, Renkum, Rheden & Rozendaal",481953032,Zonnedauw 3,Apeldoorn,7322 EA,Nederland,
Anculus namens Zaan Primair,321813337,Bogert 31,Eindhoven,5612 LX,Nederland,http://www.anculus.nl
Gemeente Westland,522098722,p.a. postbus 1015,Alkmaar,1810KA,Nederland,http://www.140174.nl
Regionale Sociale Dienst Hoeksche Waard,31740486,Beetsstraat 7,OUD-BEIJERLAND,3261PL,Nederland,http://www.rsdhw.nl
Stichting Verkeersonderneming,21996427,Wilhelminakade 909,ROTTERDAM,3072AP,Nederland,http://www.verkeersonderneming.nl
GVB Veren BV,5953591,Arlandaweg 106,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Veiligheidsregio Twente,441589314,Spaansland 20,ENSCHEDE,7543BG,Nederland,http://www.vrtwente.nl
Kamer van Koophandel,41638054,Sint Jacobsstraat 300,Utrecht,3511BT,Nederland,http://www.kvk.nl
Gemeente Krimpenerwaard,121785175,2821AS 8,STOLWIJK,2821AS,Nederland,
Stichting voor Christelijk Nationaal Schoolonderwijs Ede e.o.,352037011,Horapark 3,EDE,6717LZ,Nederland,http://www.cnsede.nl
Driestar educatief,25729242,Burgemeester Jamessingel 2,GOUDA,2803PD,Nederland,http://www.driestar-educatief.nl
TeslaN B.V.,23556417,Stationspark 28,GOES,4462DZ,Nederland,http://www.teslan.nl
"""STICHTING LEK EN IJSSEL"", St. voor katholiek, openbaar en algemeen-bijzonder primair onderwijs en voortgezet speciaal onderwijs",14794662,Lorentzlaan 4,IJSSELSTEIN,3401MX,Nederland,http://www.lekenijssel.nl
Enexis BV,1582320,5223 MB 116,s-Hertogenbosch,5223 MB,Nederland,
Veiligheidsregio Gelderland-Zuid en RAV post Nijmegen,151930849,6524TV 275,NIJMEGEN,6524TV,Nederland,
Stichting Openbaar Primair Onderwijs Zuid-Kennemerland,57734595,Aerdenhoutsduinweg 1,AERDENHOUT,2111AN,Nederland,http://www.stopoz.nl
Vereniging voor Protestants Christelijk Basis Onderwijs Smallingerland,131960124,9202HX 200,DRACHTEN,9202HX,Nederland,
CoÃƒÂ¶peratieve Vereniging Midwaste Milieu UA,201809692,Schieweg 99,DELFT,2627 AT,Nederland,http://www.midwaste.nl
Belastingsamenwerking voor Gemeenten en Waterschappen (BsGW),302458391,Maria Theresialaan 99,Roermond,6043 CX,Nederland,http://www.BsGW.nl
"Meerderweert, Stichting Primair Onderwijs Weert/Nederweert",512050643,Beatrixlaan 1,WEERT,6006AH,Nederland,http://www.meerderweert.nl
EBN B.V.,53465432,Daalsesingel 1,UTRECHT,3511SV,Nederland,http://www.ebn.nl
GVB Activa B.V.,19664070,Provincialeweg 2,Diemen,1112XT,Nederland,http://www.gvb.nl
Stichting Herinneringscentrum Kamp Westerbork,1989076,9414TG 8,HOOGHALEN,9414TG,Nederland,
GVB Exploitatie BV,5953591,1043 HP 106,AMSTERDAM,1043 HP,Nederland,
Gemeente Wierden,321774091,7642EC 1,WIERDEN,7642EC,Nederland,
IBN Kader B.V.,60486555,Hockeyweg 5,UDEN,5405NC,Nederland,http://www.ibn.nl
Chemelot Campus Vastgoed C.V.,2018267,Urmonderbaan 22,GELEEN,6167RD,Nederland,http://www.brightlands.com
Radboud Universitair Medisch Centrum,221778972,Geert Grooteplein-Zuid 10,Nijmegen,6525GA,Nederland,http://www.radboudumc.nl/inhuurdesk
"Ministerie van Economische Zaken, Dienst ICT Uitvoering",151733690,Bezuidenhoutseweg 73,Den Haag,2594 AC,Nederland,http://www.dictu.nl
Gemeente Stein,381910534,6171KP 200,STEIN,6171KP,Nederland,
Breed,28750532,Boekweitweg 4,NIJMEGEN,6534AC,Nederland,http://www.denkbreed.nl
Gebiedsonderneming Laarberg,412165553,Den Sliem 13,Groenlo,7141 JE,Nederland,http://www.laarberg.nl
Hotelschool The Hague,282030931,Brusselselaan 2,S-GRAVENHAGE,2587AH,Nederland,http://www.hotelschool.nl/en
Stichting Atrium voor Katholiek Primair Onderwijs in Langedijk en Omstreken,751297,Voorburggracht 262,NOORD-SCHARWOUDE,1723HN,Nederland,http://www.atriumscholen.nl
NS Groep N.V. i.o.v. NedTrain B.V.,41680548,Laan van Puntenburg 100,UTRECHT,3511ER,Nederland,http://www.ns.nl
Gemeente Teylingen,3548366,2171 CS 25,Sassenheim,2171 CS,Nederland,
Uitgebreide Brandverzekering Gemeente Utrechtse Heuvelrug,251670300,Kerkplein 2,Doorn,3941 HV,Nederland,http://www.heuvelrug.nl
Stichting Nuborgh College voor Protestants-Christelijk Voortgezet Onderwijs op de Noordwest-Veluwe,262275926,Kruidenlaan 1,ELBURG,8082CA,Nederland,http://www.nuborghcollege.nl
Anculus namens Katholieke Scholenstichting Utrecht (K.S.U.),40654270,Bogert 31,Eindhoven,5612LX,Nederland,http://www.anculus.nl
Franciscusschool,34434939,Lyceumstraat 2,OLDENZAAL,7572CP,Nederland,http://www.konot.nl
Stichting Voortgezet Onderwijs Gemert en omstreken,532115875,Sleutelbosch 2,GEMERT,5421KZ,Nederland,http://www.commanderijcollege.nl
O.R.S. Lek en Linge,241896524,Multatulilaan 6,Culemborg,4103 NM,Nederland,http://www.lekenlinge.nl
Stichting Open Schoolgemeenschap Bijlmer,92354763,1103BE 5,AMSTERDAM,1103BE,Nederland,
WVS-groep,57589618,Bosstraat 81,ROOSENDAAL,4704RL,Nederland,http://www.wvsgroep.nl
"Gemeente Amsterdam, Team Inkoop en Contractmanagement Cluster Sociaal",382077623,1056 CH 323,Amsterdam,1056 CH,Nederland,
