"actorenId","actorenName","actorenComment"
"10648/047424ba-1af6-44e7-913c-39b357f95d74","Verkeerscentrum Nederland (VenW, IenM)","2003-2011"
"10648/b4739863-03f4-46a1-9a21-de5a3964fb13","Waterdienst (VenW, IenM)","2008-2013"
"10648/d2b690eb-44ec-4b13-9799-14a8c9cd2fd3","Data-ICT-Dienst (VenW, IenM)","2008-2013"
"10648/7005c76b-78c3-4aca-94e9-d82c673fcd8a","Meetkundige Dienst (VenW)","1975-2002"
"10648/c443d2ea-6b21-47ad-a7d1-d41ea770474c","Dienst Infrastructuur (IenM)","2011-2013"
"10648/18064bb0-2e1a-4d06-9239-9ca2dd0ef9c2","Dienst Weg- en Waterbouwkunde (VenW)","1985-2007"
"10648/ed57f7a9-7793-40d8-af97-11a1d0e7dc5d","Directie Organisatie en Informatie (VenW)","1979-2006"
"10648/c8675f8d-abf3-4d7a-8142-b8291cf3aefb","Directie Vreemdelingenbeleid (Justitie)","1994-2009"
"10648/9563b4c2-9cf0-42e0-91a3-2b6bebbadf3f","Centrale Directie Personeelsmanagement (VenW)","2003-2008"
"10648/05d929d7-e019-4015-ad37-dbcd7f1e7139","Stafdirectie Coordinatie Vreemdelingenketen (Justitie)","2004-2009"
"10648/ffcf59ae-9708-43e0-9778-9d619bf1fcde","Directie Vreemdelingenzaken (Justitie)","1977-1993"
"10648/929ef5ba-a258-4bd5-acf7-9cabd552d1f1","Directoraat-Generaal Politie en Vreemdelingenzaken (Justitie)","1981-1991"
"10648/2f4b5f80-49b9-4f4b-8fad-b9765008d337","Hoofdafdeling Vreemdelingenzaken en Grensbewaking (Justitie)","1975-1977"
"10648/bbf480d8-67d7-4ba3-a092-dd135e88be9a","Directoraat-Generaal Jeugd en Sanctietoepassing (VenJ)","2011-2015"
"10648/9c94d6cc-91ba-404c-9494-266b353c3fc1","Directoraat-Generaal Jeugdbescherming en Delinquentenzorg (Justitie)","1981-1996"
"10648/27c55865-6026-4e7f-b310-3063c3ac2c38","Directoraat-Generaal Wetgeving, Rechtspleging en Rechtsbijstand (Justitie)","1998-2006"
"10648/1540b49b-5d2f-4fd7-a004-289bbb98f2c0","Directoraat-Generaal Rechtspleging (Justitie)","1991-1996"
"10648/0bc6209b-7e63-435b-b2b5-46157c86d8fe","Directoraat-Generaal Wetgeving, Rechtshandhaving en Rechtspleging (Justitie)","1996-1998"
"10648/55bd0910-9df3-4a20-ab65-77a0504fb07b","Directie Bedrijfsvoering en Managementondersteuning (VROM)","1992-2004"
"10648/b01d6748-69fc-49ff-b8c5-61209ac0f183","Directie Personeel, Organisatie en Informatie (VROM)","2004-2007"
"10648/1fc69aed-9cd6-436f-8de9-0c3b02f83126","Directie Informatiemanagement en Organisatie (VROM)","1982-2003"
"10648/ab9c0aec-f918-4ca3-9911-f7099afa1738","Directie Personele Zaken (VROM)","1982-2003"
"10648/e65511d8-c6a7-436d-9e62-00db41d2ed50","Directoraat-Generaal Rechtshandhaving (Justitie)","1998-2006"
"10648/bd0e2847-92f6-4f32-b647-8f71660d95b4","Hoofddirectie Organisatie Rechtspleging en Rechtshulp (Justitie)","1981-1991"
"10648/ed4f7044-b5ee-4ba4-a944-793fd96f11ea","Directoraat-Generaal Politie en Criminaliteitsbestrijding (Justitie)","1991-1996"
"10648/a3bc9948-90b4-48b3-adc4-9789d87b4bd7","Directoraat-Generaal Wetgeving (Justitie)","1989-1996"
"10648/71e1fbab-6342-42e9-ba8a-041aa1db6667","Projectdirectoraat-generaal Vreemdelingenwet 2000 (Justitie)","2001-2003"
"10648/575c7dc6-2b06-46b9-9a89-b03b1f43a334","Projectdirectoraat-generaal Herinrichting Vreemdelingenketen (Justitie)","2005-2008"
"10648/97c96765-346b-4c30-9adb-593acdabb41a","Directie Internationale Zaken (VenW)","2000-2007"
"10648/cb9b0d56-545e-4483-a15d-c093e5286fe8","Directie Algemeen Beleid (VenW)","1997-2004"
"10648/62d97627-0aeb-4603-9820-e8fd4df949ce","Directie Transportveiligheid (VenW)","1997-2004"
"10648/5097db01-c152-4fa4-bd29-56b505188b14","Directie Transport en Infrastructuur (VenW)","1997-2004"
"10648/347f8af6-6ee0-4ef8-b68a-35fd4730ec85","Projectdirectie Betuweroute (VenW)","1995-2004"
"10648/64aafe97-41f4-4d34-a09a-b16cc1df5bbe","Sector Strafrecht en Sanctierecht (Justitie)","1995-1996"
"10648/031c0391-2528-4bc9-8d19-dd22f323ecd1","Vaarwegmarkeringsdienst (VenW)","1991-2000"
"10648/32498a0e-362b-4a0f-b591-631ee1a9cab4","Sector Staatsrecht en Bestuursrecht (Justitie)","1995-1996"
"10648/5b609433-6486-4cb4-89dc-3e8ad3f1cdf0","Sector Vermogensrecht (Justitie)","1995-1996"
"10648/d9405256-1373-47e2-8acb-394c0980a6da","Sector Personenrecht en Ondernemingsrecht (Justitie)","1995-1996"
"10648/7bf852e3-9317-4613-bdca-769dcc2d62b1","Sector Rechtspleging (Justitie)","1995-1996"
"10648/a606d843-b951-4fe4-920e-6f58d190da65","Directie Water (VenW)","1997-2004"
"10648/c3302605-4d19-4cc1-9db9-fcd7c7085677","Directie Uitvoering (VenW)","2000-2004"
"10648/70c3feba-fc1d-400d-be5d-806359a7760d","Sector Wetgevingskwaliteitsbeleid (Justitie)","1995-1996"
"10648/1703f8e9-26af-4498-a45f-f62d39f64626","Directie Kennis (VenW)","2000-2004"
"10648/e31fd198-074b-4a29-845c-2dc30a9c41d2","Directie Mobiliteitsmarkt (VenW)","1997-2001"
"10648/3dc83aaf-396f-43a9-89db-1188973514ea","Directie Innovatie en Omgeving (VenW)","1997-2001"
"10648/a4513dae-6537-4c91-b77f-12f2a939068e","Stafafdeling Wetgeving Privaatrecht (Justitie)","1975-1995"
"10648/f9641d84-82a3-4b04-96cb-d0bb22edc871","Stafafdeling Wetgeving Publiekrecht (Justitie)","1975-1995"
"10648/944dfdac-23af-4591-83f1-5b53b717cb8f","Directie Informatie- Infrastructuur (VenW, EZ)","1999-2003"
"10648/3b96d21e-e366-44b9-88ce-53c82cbf2ae5","Directie Markt en Ordening (VenW, EZ)","1999-2005"
"10648/3c751e7f-1a44-4b90-b23c-3595f4d618cc","Rijksdienst voor Radiocommunicatie (VenW)","1929-2001"
"10648/fc795e88-318d-4b62-a5ad-187858dcec06","Directie Luchtvervoersbeleid (VenW)","1980-1987"
"10648/12c17eb9-755c-4bc3-8686-c2f1dce3a961","Programma Directie Ontwikkeling Nationale Luchthavens (VenW)","1995-2004"
"10648/9335638e-f8c7-4061-9047-2fc53901aeb3","Stafafdeling Wetgeving Nieuw Burgerlijk Wetboek (Justitie)","1975-1995"
"10648/cef6e708-cdce-4842-a786-9078d9df65be","Beheerorganisatie Centrale Diensten (VenW)","1998-2004"
"10648/bf481106-326a-4273-acf7-25cf507fd29a","Directie Strategie en Coördinatie (VenW)","2000-2003"
"10648/71d53f9a-4ed1-48bc-a984-26d55b2cd370","Stafafdeling Algemeen Wetgevingsbeleid (Justitie)","1981-1995"
"10648/e0ec82fa-f295-4802-b02f-b1b16f7753fa","Stafbureau Internationale Zaken (Justitie)","1996-2006"
"10648/9bcb8c98-75c9-4378-b912-93b3c387d1d5","Directie Internationale Strafrechtelijke Aangelegenheden en Drugsbeleid (Justitie)","1999-2006"
"10648/10550a02-6716-465d-a40d-2a72d5add3e4","Directie Rechtshandhaving en Criminaliteitsbestrijding (Justitie, VenJ)","2006"
"10648/8293b2df-e549-465d-aaf6-77cff6d09ae5","Bureau Secretaris-Generaal (VenW)","1975-2004"
"10648/0bcd3b34-48b1-42d3-8551-10f89b69a2cf","Directie Juridische en Operationele Aangelegenheden (Justitie, VenJ)","2006"
"10648/1894730b-c501-439c-beda-eb98a202b2a5","Bureau Juridische en Beleidsondersteunende Aangelegenheden (Justitie)","1998-2006"
"10648/dfcb8cdf-50fd-408a-a819-15e6ebfe6f4e","Bureau Operationele Zaken (Justitie)","1998-2006"
"10648/e9f4b2bd-051c-4f2f-a062-70ba8d338467","Raad voor de Transportveiligheid (VenW)","1999-2004"
"10648/de78829a-1ffd-4627-a9bd-91171d722966","Air Traffic Incident Commission (VenW)","1993-2004"
"10648/39fe20aa-9631-4f58-bfbd-29f71828f7df","Directie Rechtsbestel (Justitie, VenJ)","2006"
"10648/d0af5a5f-73a8-4732-a017-827a5f09f071","Directie Strategie Rechtspleging (Justitie)","2002-2006"
"10648/14512161-de3d-483e-ab24-397ac22b4058","Directie Toegang Rechtsbestel (Justitie)","2003-2006"
"10648/89570f0d-c533-44ee-afac-a193cf94c451","Directie Rechtspleging (Justitie)","1998-2002"
"10648/3eeb9018-0780-4f8c-8fb5-ce3002418c85","Directie Ontwikkeling Rechtspleging (Justitie)","1991-1998"
"10648/c6e44a95-47d3-4924-9531-d5a162895c24","Dienst Rechtspleging (Justitie)","1996-1998"
"10648/897435a5-7ca4-4920-96b8-f0115207a4ad","Adviesunit Resultaatgericht Beleid (VenW)","1998-2004"
"10648/20db8610-54c1-4948-96cb-69a3a6cc10aa","Hoofdafdeling Algemeen Beleid Rechtspleging (Justitie)","1981-1991"
"10648/3951a5eb-b77e-4c9a-b622-116d0a17e25f","Directie Organisatie Rechtspleging en Rechtshulp (Justitie)","1975-1981"
"10648/0e637851-49fc-4e2b-8c6e-a9c94fbb63dc","Adviesgroep Rechtspositionele Vraagstukken en Geschillen (VenW)","2002-2004"
"10648/28851940-6473-483e-aae4-d52c8a1b22ba","Directie Rechtsbijstand en Juridische Beroepen (Justitie)","1998-2003"
"10648/f4f7decc-a39e-4a9c-a007-ebf7667ab5ac","Dienst Rechtsbijstand en Juridische Beroepen (Justitie)","1996-1998"
"10648/bca6e6f5-7812-4859-bf8a-7a2546a652db","Stichting Sociaal Fonds (VenW, IenM)","1950"
"10648/ad80e105-c339-48fd-9db1-2f8ae3ff1526","Directie Rechtshulp (Justitie)","1991-1996"
"10648/7a2c29a9-9704-47eb-be6a-f90e0bf61139","Commissie Integraal Waterbeheer (VenW)","1995-2004"
"10648/5bfb9ced-07d0-4930-af25-23ebab86ac35","Hoofdafdeling Algemeen Beleid Rechtshulp (Justitie)","1981-1991"
"10648/a08fdda4-5290-460d-87ab-98d44ad57d79","Facilitatie Commissie voor het Luchtvervoer (VenW)","1991-2004"
"10648/7ed247d6-3abd-419c-acea-8fb3ca262704","Overlegorganen Verkeer en Waterstaat (VenW)","1996-2004"
"10648/429ef230-5e1f-4fde-a823-29b04885714f","Directie Rechterlijke Organisatie (Justitie)","1991-1996"
"10648/68f57931-c21e-497f-8846-f8472fe59650","Hoofdafdeling Economische Zaken (Justitie)","1981-1991"
"10648/48988736-b1b3-43e9-a71c-494797844ba8","Hoofdafdeling Personeelszaken (Justitie)","1981-1991"
"10648/e7581a38-2f40-44a4-915a-6ae9fe5c4a42","Hoofdafdeling Organisatie en Informatievoorziening (Justitie)","1981-1991"
"10648/06f60b02-9cbd-4ef8-9db9-95f841b25077","Directie Opsporingsbeleid (Justitie)","1998-2006"
"10648/9fd9cf9a-e8ff-49d2-abcf-596e9ce1b928","Informatie- en communicatietechnologie Dienst (VROM)","1995-2004"
"10648/9aac7c23-40fe-4033-80af-83e608c6c6f3","VROM P-winkel (VROM)","2000-2002"
"10648/c50cf6c1-2f52-4f83-9956-dfd42cec65ae","Directie Handhaving (Justitie)","1998-2006"
"10648/4a7dc0d1-72ed-400f-ac44-496d2c182486","Interim Management VROM","1994-2004"
"10648/4eaafc9e-6276-4466-91f2-02107f5a32cb","Directie Strafrechtelijke Handhaving (Justitie)","1996-1998"
"10648/43abeb7c-a018-437c-baeb-3f5dd27001a7","Directie Politie (Justitie)","1975-1996"
"10648/1fa637f1-25a1-474a-afd4-17f2d95fcbf9","Interface Kadaster (VROM)","2000-2004"
"10648/1918ffd2-6c12-4fe8-948c-be5a14caa09b","Dienst Documentaire Informatie (VROM)","1991-2004"
"10648/4a3d729f-78db-409b-a747-c30252ca44e3","Bureau Internationale Rechtshulp in Strafzaken (Justitie)","1996-1999"
"10648/4331fe09-4773-4d72-be73-a37012502735","Bureau Internationale Strafrechtelijke Samenwerking (Justitie)","1996-1999"
"10648/fc463bbf-e124-4ca3-9058-d19cb7483360","Directie Staats- en Strafrecht (Justitie)","1975-1996"
"10648/00aed529-eada-4feb-b3ab-4d7081f3ca35","Directie Criminaliteitspreventie (Justitie)","1990-1996"
"10648/536d571e-eb87-4e59-9974-8d47a9d322a4","Directie Preventie-, jeugd- en sanctiebeleid (Justitie)","1996-2002"
"10648/71e3bd5d-b5c6-4da7-a1a8-05b06a88eff9","Directie Jeugd en Criminaliteitspreventie (Justitie)","2002-2004"
"10648/d329f872-9012-4e1c-81e1-29ff632246c4","Directieteam (VROM)","2000-2004"
"10648/ac6131b3-55f2-43b6-8c13-085c8479f79f","Directie Programma's en Projecten (VROM)","2000-2004"
"10648/9a857917-a42c-4cc4-a1c0-c7ef75c603cb","Directie Sancties, Reclassering en Slachtofferzorg (Justitie)","2002-2004"
"10648/bf4a7e04-ddf0-4368-a2da-a30b8e5b8ca5","Directie Sanctie- en Preventiebeleid (Justitie, VenJ)","2004-2015"
"10648/2a769bad-d39b-46eb-9230-bd04ce0c6c4d","Directie Justitieel Jeugdbeleid (Justitie, VenJ)","2004-2015"
"10648/21f973ce-e9cc-4f38-be65-62b5cc0dfdcc","Directie Mensen en Middelen (VROM)","2000-2004"
"10648/57626158-41a3-42c6-91a4-2aa40b307e38","Directie Jeugdbescherming en Reclassering (Justitie)","1988-1996"
"10648/fc000a45-fef6-4ee6-903c-55218f105aed","Directie Regionaal BeleidVROM (VROM)","2002-2004"
"10648/a13f0d60-171d-4640-ace6-017bbdf8c3d7","Directie Ruimtelijk Investeren (VROM)","2000-2004"
"10648/9dfee566-08f3-4a0d-bd9e-7b10abd898e6","Dienst Justitiële Inrichtingen (Justitie, VenJ)","1995"
"10648/52ca5bc6-738a-49b0-8c1a-446175938813","Directie Delinquentenzorg en Jeugdinrichtingen (Justitie)","1988-1995"
"10648/a270b68d-05df-4e79-975e-c948739692c8","Directie Gevangeniswezen (Justitie)","1975-1988"
"10648/24091151-568b-476d-860e-4c9e85d9daa5","Directie Bedrijfsvoering (VROM)","2000-2004"
"10648/1000a784-687a-4f45-bc06-a7945634fbbc","Directie Kinderbescherming (Justitie)","1975-1988"
"10648/33df9b56-732a-4f1f-8c86-769ac09d53d1","Directie T.B.R. en Reclassering (Justitie)","1973-1988"
"10648/58ae35db-1240-4541-89f3-a52ed7bda996","Commissie genetische modificatie (VROM, IenM)","1990"
"10648/d087b561-b7ad-4e11-993f-de1fe9be9b2e","Bureau van de Hoofdpredikant bij de Inrichtingen van het Ministerie van Justitie (Justitie)","1975-1988"
"10648/468c3dfd-7598-45d8-ae7e-6ac78fbbe69a","Bureau van de Hoofdaalmoezenier bij de Inrichtingen van Justitie (Justitie)","1975-1988"
"10648/37061bd0-07f8-498d-b97f-2e1ca647da95","Commissie schadebeoordeling beleidslijn Ruimte voor de rivier (VROM)","1999-2009"
"10648/74c5a126-df0b-40fd-8ea4-5d8043fc103e","Bureau van de Centraal Geestelijke Raadsvrouw bij de Inrichtingen van Justitie (Justitie)","1975-1988"
"10648/ed7d62e5-be97-4b76-b7f6-fde5231655db","Stichting IRC International Water and Sanitation Centre (VROM, IenM)","2004"
"10648/679a7ac3-3438-426a-9a5e-f0178e53c0b8","Stichting Adviesbureau Onroerende Zaken (VROM, IenM)","1998"
"10648/0faac8fa-bed5-428d-80b4-f1c7c5aafa45","Stichting Ravi overlegorgaan voor vastgoedinformatie (VROM)","1990-2007"
"10648/d87fec53-0628-4dcd-b653-f82dd74e13d0","Bureau Psychiatrisch en Psychologisch Adviseurs (Justitie)","1988-1995"
"10648/5cb087fd-56dc-4c7e-9aef-62608bbf6904","Bureau van de Geneeskundig Inspecteur (Justitie)","1975-1988"
"10648/f0fef3aa-6030-48fc-96d1-11857ba65312","De Rijksplanologische Commissie (VRO, VROM)","1962-2008"
"10648/f90cb75d-9981-464e-9a06-ab84e2be2b34","Landelijke Coördinatie Commissie Milieuwethandhaving (VROM)","1992-2004"
"10648/3443d831-df00-4510-9b30-6ddc39aeefc4","Rijksmilieuhygïenische Commissie (VROM)","1984-2004"
"10648/6b40d5ce-6636-4b5f-8f76-30f06987965d","Bureau van de Tandheelkundig Inspecteur (Justitie)","1987-1987"
"10648/d181bbff-c018-4f2e-a57b-1302173da598","Hoofdafdeling Privaatrecht (Justitie)","1975-1989"
"10648/c2d41a23-1837-4497-aebd-00e339cee218","Hoofdafdeling Rechtspersonen, Nationaliteit en Burgerlijke Staat (Justitie)","1989-1992"
"10648/ddf9ddb2-8bea-4bf2-8f68-d454badb765c","Directie Financiën, Bedrijfsvoering en Control (VenJ)","2012"
"10648/fbc0a8d7-19ab-4ac1-a013-2ae01494f57e","Directie Control, Bedrijfsvoering en Juridische Zaken (Justitie, VenJ)","2009"
"10648/5b62b43c-b72f-4844-87e5-9d81a55c4c8b","Facilitair Bedrijf Bestuurskern (VenW)","2002-2002"
"10648/a7696cf7-ec66-42ea-975c-087e271a8e4d","Directie Financieel-Economische Zaken (Justitie, VenJ)","1975"
"10648/4be29ff9-840a-47f8-b3ba-43bc4f26cc11","Centrale Directie Wetenschapsbeleid en Ontwikkeling (Justitie)","1990-1996"
"10648/049351a2-bf6f-4a2b-949a-aaae1c778db5","Directie Informatieverzorging en Documentatie (Justitie)","1981-1990"
"10648/f16cdad9-3fcd-4d3d-9359-5b6754c5c2e3","Dienst JUSTIS (Justitie, VenJ)","2005"
"10648/8e4eac86-a898-4057-b3fe-d1fd946ce5a5","Directie Bestuurszaken (Justitie)","1996-2004"
"10648/6340a438-1365-4e09-81f5-d3582b023b55","Centraal Justitieel Incassobureau (Justitie, VenJ)","1990"
"10648/e6af29d9-bef9-46d3-a6d1-a02cd5db7958","Raad voor de Kinderbescherming (Justitie, VenJ)","1996"
"10648/56e0ed13-8ff0-4f5f-a80c-edb554ff7464","Nederlands Forensisch Instituut (Justitie, VenJ)","1999"
"10648/2742adfc-a6be-4db4-9d61-ca8762902c64","Gerechtelijk Laboratorium (Justitie)","1945-1999"
"10648/b6a05337-fd1e-4226-aacf-5ccec6864943","Laboratorium voor Gerechtelijke Pathologie (Justitie)","1951-1999"
"10648/663d649f-1ce2-43ef-8b99-84ca0836db21","Centrale Raad voor Strafrechtstoepassing (Justitie)","1951-2000"
"10648/7152c6e8-e348-4c66-8eb2-d495ed42ab79","College van Advies voor de Justitiële Kinderbescherming (Justitie)","1989-2000"
"10648/6fc1d79c-e86c-4f2b-8d2b-f1aa5a4dd560","College van Advies voor de Kinderbescherming (Justitie)","1956-1989"
"10648/784bb25b-b762-4a1f-8b04-612c41e2ad8b","Wetenschappelijk Onderzoek- en Documentatiecentrum (Justitie, VenJ)","1975"
"10648/9d398019-f1bc-4e35-aea1-59c41cc775f7","Directie Voorlichting (Justitie, VenJ)","1990"
"10648/15055396-baf6-4acd-a4ad-5fd789141d44","Stafbureau Voorlichting (Justitie)","1975-1988"
"10648/b363cf43-b38f-4e1b-b0af-955575e4acc3","Raden voor de Kinderbescherming (Justitie)","1956-1996"
"10648/48a1786e-b64a-4c4f-afb9-38b35cd692fd","Adviescollege Verloftoetsing tbs (Justitie, VenJ)","2007"
"10648/362566a1-6e59-4ad2-9f99-9800e43218a5","Bureau Adviescollege Verloftoetsing tbs (Justitie, VenJ)","2007"
"10648/e9c539f1-920d-43a3-8226-2dd86ca56d9f","Projectendirectie Huisvesting (VenJ)","2011"
"10648/4a5a002d-af11-47e0-9287-7a0168ca240d","Directie Informatisering en Inkoop (VenJ)","2011"
"10648/31271497-7ef8-47ae-b00a-f65aa50aff64","Directie Algemene Zaken Bestuursdepartement (Justitie)","1995-1999"
"10648/c3a052c7-ae22-43f0-afb3-08fd2c607b65","Directie Algemene Zaken (Justitie)","1990-1995"
"10648/89cb2e13-d25e-4c41-84e1-2910c2e6c2f0","Directie Coördinatie Bedrijfsvoering (Justitie)","1995-1999"
"10648/61208e12-0f9c-4018-9244-e262e7aca15d","Centrale Stafafdeling Informatiemanagement (Justitie)","1989-1995"
"10648/18f7d9f1-b9d3-470e-b83e-1b7cd76205c6","Bureau Secretaris-Generaal (Justitie, VenJ)","1986"
"10648/994c6d07-d469-4f5f-af40-7b1e0ee41594","Hoofdafdeling Organisatie en Informatievoorziening Ministerie (Justitie)","1983-1990"
"10648/bba94ecf-7f3d-4a32-a27b-3839ac7b7d15","Stafbureau Organisatie en Efficiency (Justitie)","1975-1983"
"10648/2bdf8492-c8ad-43d5-bd57-7624c55b2c4d","Centrale Afdeling Automatisering (Justitie)","1977-1983"
"10648/def46cb8-2d7c-488a-85f3-6f9f0d613fe8","Directie Personeel en Organisatie (Justitie, VenJ)","1995"
"10648/411fa328-3c90-4852-8881-801f2ae8cd7c","Centrale Directie Personeelszaken (Justitie)","1984-1995"
"10648/9ea1646f-7a79-4058-a8b1-65afd30e5813","Directie Algemeen Beheer (Justitie)","1975-1981"
"10648/efc99c4a-bd46-4e71-a259-0b455c005130","Stafbureau Algemeen Personeelsbeleid (Justitie)","1975-1984"
"10648/6578241b-86c4-41c7-b40d-fb0deb644172","Afdeling Personeel Ministerie (Justitie)","1975-1984"
"10648/9c614d74-a162-49a9-8f78-b09ebe07d622","Centrale Dienst Post- en Archiefzaken (Justitie)","1979-1986"
"10648/a45ae0cc-4f94-40ac-9c7b-a937996d6866","Afdeling Beheerszaken Ministerie (Justitie)","1975-1981"
"10648/39ccadcc-25b8-4a68-8b8b-5ec92e7c2e2b","Afdeling Personeels- en Salarisadministratie (Justitie)","1975-1981"
"10648/032c4d4e-333e-4536-b89c-a1ba7b44dcce","Afdeling Kabinetszaken en Uitgifte Staatsblad (Justitie)","1977-1987"
"10648/4a2f3e6c-2510-4226-8567-1298e7a9fab9","Kabinet (Justitie)","1987-2002"
"10648/c27e81fe-4a0c-4df4-a727-d309e4417d75","Dienstencentrum (VenJ)","2011"
"10648/ae9b1fc8-446f-4c70-b352-207765853453","Directie Bedrijfsvoering en Ondersteuning Bestuursdepartement (Justitie, VenJ)","1999"
"10648/8c013f63-699c-47f8-9578-d52c7c0dcbc8","Gemeenschappelijke Beheerorganisatie (Justitie)","1999-2009"
"10648/73aaedc6-302b-4482-86f8-6036459ee504","Justitiële Informatiedienst (Justitie, VenJ)","2006"
"10648/c601aa32-0221-4c30-a200-04cdc44529d9","Inspectie voor de Rechtshandhaving (Justitie)","1991-2000"
"10648/54effc61-f8f2-46a0-a5d3-79defd7ab631","Bureau Kwaliteitszorg (Justitie)","1996-2005"
"10648/dd30f53c-60fd-42e2-96c2-c28e1a4baf49","Centrale Hoofdafdeling Huisvesting, Materieel en Beveiliging (Justitie)","1989-1990"
"10648/127ed79a-8b8d-4f7e-89ab-f5f6cc93996f","Afdeling Algemene Zaken (Justitie)","1983-1989"
"10648/85cd7ad0-31f7-4735-bb7f-3fa0708219d6","Afdeling Vervoer, Gebouwen en Interne Dienst (Justitie)","1981-1983"
"10648/9fcf4cc6-8824-43a1-b8cc-8482a5adafbd","Bureau Beveliging en Bedrijfszelfbescherming (Justitie)","1981-1983"
"10648/99ff838f-3579-4fbf-bf61-90615c2a8999","Directie Personeel en Organisatie (VenW)","1975-2002"
"10648/aa946f5f-ad18-4672-8e93-6847a8375c85","Facilitair Adviescentrum (VenW)","2002-2002"
"10648/e840d356-4e6f-43c0-aa4e-eba97f57970e","Stafdienst Strategie (VenW)","2001-2003"
"10648/ffde82a2-8c73-42bb-ae4a-90336e0b8294","Bureau Verontreiningsheffing Rijkswateren (VenW)","1970-2004"
"10648/2d67d5cf-1ab3-40f2-9767-7c315e57748a","Bouwdienst Rijkswaterstaat (VenW, IenM)","1990-2011"
"10648/e1fce6ad-1e3b-47b4-968e-b9beac0ce952","Dienst Verkeer en Scheepvaart (VenW, IenM)","1994-2013"
"10648/8786411e-4c2e-4b94-b71c-49de01f5136b","Rijkswaterstaat Water, Verkeer en Leefomgeving (IenM)","2013"
"10648/dc4fbd96-b203-42e8-8258-48af83786392","Commissie Insolventierecht (Justitie)","2003-2009"
"10648/11c67d02-0a56-48b0-be04-c703d1e97395","Interdepartementale Waddenzeecommissie (VRO, VROM)","1977-2004"
"10648/46dfe78e-51a1-4724-97da-94ab5ece49cc","Commissie van Toezicht Uitzettingen Koninklijke Marechaussee (Defensie)","2005-2007"
"10648/26e74f31-c845-4ad7-ad57-0024cc3949d5","Commissie van Toezicht Terugkeer (Justitie)","2006-2007"
"10648/c7322034-6166-41c1-9653-27873fa978f8","Directie Organisatie (VenW)","1975-1978"
"10648/2d1b1cdf-b5f9-4352-b859-e27c4e417cfa","Interdepartementale Commissie Europees Recht (BZ)","1997"
"10648/030698ad-19cb-4831-82e9-73982b4ccf59","Ambtelijke commissie Beter bestuur voor burger en bedrijf (Justitie)","1995-2004"
"10648/b73ee92b-8dc0-429f-8e52-301ddde2ae92","Ambtelijke commissie marktwerking, deregulering en wetgevingsprojecten (EZ, Justitie)","1995-2003"
"10648/00464722-18e3-4fee-a268-f8b8aa04cd83","Gezinsvoogdij-instellingen (Justitie)","1989-2005"
"10648/35629b5e-1407-477e-92fd-5c8ea786d358","Stuurgroep Handhaven op niveau (Justitie)","2000-2005"
"10648/6a86aa86-e691-4671-a735-5074a40d7a2c","Interdepartementale Stuurgroep Immigratie (Justitie)","1990-2004"
"10648/a88f3053-971d-40e7-aeb5-3c089a3ff7af","Directie Facilitaire Zaken (VenW)","1975-2002"
"10648/0b8cf2eb-11de-4bbe-8a44-a23fafb29f85","Crisisbeheersing (VenW)","1986-1990"
"10648/c5a4f3f0-56c7-499c-81ed-30972afad5fd","Strategische Beleidsgroep (VenW)","1991-1997"
"10648/ca572714-ccda-4463-a69c-b67e872ac58e","Stuurgroep Verkeer en Vervoer (VenW)","1977-1983"
"10648/edca80a8-3d26-4ce0-91a3-75a5f70ac23b","Wegenverkeerswetgeving (VenW)","1982-1988"
"10648/05d3bfe1-a3e0-4521-9a69-569db1814379","Studie-Afdeling (VenW)","1975-1987"
"10648/6ca8a2a1-76a1-49b8-9753-bc5c7cb7b6bf","Defensievoorbereiding (VenW)","1975-1986"
"10648/7ba8869c-2c1e-42d9-84e9-41c46e697d8f","Dienst Vaartuigen (VenW)","1982-1986"
"10648/7fd43d72-9f08-4a31-a5eb-f677fc06b9d1","Inspectie Beveiliging Burgerluchtvaart (Justitie)","2003-2004"
"10648/090481bd-cb2a-49ea-9e79-0f307a2edcfa","Coördinatie Kernenergie-aangelegenheden (VenW)","1975-1977"
"10648/cb744401-01f5-480b-ae51-fbee2adf9402","Bijzondere Aangelegenheden (VenW)","1975-1979"
"10648/5da4d636-3aba-4de0-8cb3-408d705e0f1c","Recherchezaken (VROM)","1990-2002"
"10648/e3a8a602-d1e8-4edf-9dfb-2022199cd6a4","Interdepartementale commissie voor de Harmonisatie van Wetgeving (Justitie)","1980-1999"
"10648/707dde4f-d490-482b-969d-f4bff9c58fe1","Besturingseenheid (Justitie)","1995-1997"
"10648/4a7410bb-9d0d-4d1f-a7fc-55745a90ac5e","VROM OpleidingsCentrum (VROM)","1998-2002"
"10648/863b6a02-1bef-4f62-ad9d-093d3f4cf4b2","VROM Loopbaanadvies Centrum (VROM)","1998-2002"
"10648/45dd81e7-9be2-42ec-b5c0-334d7f78acb9","VROM Formatie advies Centrum (VROM)","1998-2002"
"10648/b093c963-61ec-40ca-8383-028f577e9319","Bureau van de Adviseur ten behoeve van de Raad van State (VROM)","1982-1996"
"10648/a56f6be2-cad8-411b-9072-3cb44ee607d6","Bureau Adviseur Beroepen (VROM)","1993-1996"
"10648/82e8edd8-3e1f-4b9d-8194-3bf5df18bbba","Directie Coördinatie Bouwbeleid (VROM)","1983-1992"
