"cbsId", "cbsName", "cbsComment"
"GM1894", "Peel en Maas", "Ontstaan per 01-01-2010"
"GM0765", "Pekela", "Ontstaan per 01-01-1990"
"GM1926", "Pijnacker-Nootdorp", "Ontstaan per 01-01-2002"
"GM0439", "Purmerend", "Begindatum voor 1830"
"GM0273", "Putten", "Begindatum voor 1830"
"GM0177", "Raalte", "Gemeentelijke herindeling per 01-01-2001. <br>Begindatum voor 1830"
"GM0703", "Reimerswaal", "Ontstaan per 01-01-1970"
"GM0274", "Renkum", "Begindatum voor 1830"
"GM0339", "Renswoude", "Begindatum voor 1830"
"GM1667", "Reusel-De Mierden", "Ontstaan per 01-01-1997"
"GM0275", "Rheden", "Begindatum voor 1830"
"GM0340", "Rhenen", "Begindatum voor 1830"
"GM0597", "Ridderkerk", "Begindatum voor 1830"
"GM0196", "Rijnwaarden", "Ontstaan per 01-01-1985"
"GM1672", "Rijnwoude", "Opgeheven per 01-01-2014. <br>Naamswijziging per 01-01-1993"
"GM1742", "Rijssen-Holten", "Naamswijziging per 15-03-2003"
"GM0603", "Rijswijk (ZH.)", "Begindatum voor 1830"
"GM1669", "Roerdalen", "Gemeentelijke herindeling per 01-01-2007. <br>Naamswijziging per 01-01-1993"
"GM0957", "Roermond", "Gemeentelijke herindeling per 01-01-2007. <br>Gemeentelijke herindeling per 01-01-1991. <br>Begindatum 02-01-1839"
"GM0736", "De Ronde Venen", "Gemeentelijke herindeling per 01-01-2011. <br>Ontstaan per 01-01-1989"
"GM1674", "Roosendaal", "Ontstaan per 01-01-1997"
"GM0599D01", "Rotterdam - Concern", "dg = deelgemeente"
"GM0599D63", "Rotterdam - dg Centrum", "dg = deelgemeente"
"GM0599D06", "Rotterdam - dg Charlois", "dg = deelgemeente"
"GM0599D12", "Rotterdam - dg Delfshaven", "dg = deelgemeente"
"GM0599D11", "Rotterdam - dg Feijenoord", "dg = deelgemeente"
"GM0599D05", "Rotterdam - dg Hillegersberg Schiebroek", "dg = deelgemeente"
"GM0599D07", "Rotterdam - dg Hoek v. Holland", "dg = deelgemeente"
"GM0599D08", "Rotterdam - dg Hoogvliet", "dg = deelgemeente"
"GM0599D02", "Rotterdam - dg IJsselmonde", "dg = deelgemeente"
"GM0599D04", "Rotterdam - dg Kralingen-Crooswijk", "dg = deelgemeente"
"GM0599D10", "Rotterdam - dg Noord", "dg = deelgemeente"
"GM0599D03", "Rotterdam - dg Overschie", "dg = deelgemeente"
"GM0599D64", "Rotterdam - dg Pernis", "dg = deelgemeente"
"GM0599D09", "Rotterdam - dg Prins Alexander", "dg = deelgemeente"
"GM0599D13", "Rotterdam - dg Rozenburg", "dg = deelgemeente"
"GM0277", "Rozendaal", "Begindatum voor 1830"
"GM0840", "Rucphen", "Begindatum voor 1830"
"GM0441", "Schagen", "Gemeentelijke herindeling per 01-01-2013. <br>Begindatum voor 1830"
"GM0458", "Schermer", "Opgeheven per 01-01-2015. <br>Ontstaan per 01-08-1970"
"GM0279", "Scherpenzeel", "Begindatum voor 1830"
"GM0606", "Schiedam", "Begindatum voor 1830"
"GM0088", "Schiermonnikoog", "Begindatum voor 1830"
"GM0844", "Schijndel", "Begindatum voor 1830"
"GM0962", "Schinnen", "Begindatum 02-01-1839"
"GM0608", "Schoonhoven", "Opgeheven per 01-01-2015. <br>Begindatum voor 1830"
"GM1676", "Schouwen-Duiveland", "Ontstaan per 01-01-1997"
"GM0965", "Simpelveld", "Begindatum 02-01-1839"
"GM1702", "Sint Anthonis", "Naamswijziging per 04-07-1995"
"GM0845", "Sint-Michielsgestel", "Gemeentelijke herindeling per 01-01-1996. <br>Begindatum voor 1830"
"GM0846", "Sint-Oedenrode", "Begindatum voor 1830"
"GM1883", "Sittard-Geleen", "Ontstaan per 01-01-2001"
"GM0051", "Skarsterlân", "Opgeheven per 01-01-2014. <br>Naamswijziging per 01-03-1985"
"GM0610", "Sliedrecht", "Begindatum voor 1830"
"GM0040", "Slochteren", "Begindatum voor 1830"
"GM1714", "Sluis", "Ontstaan per 01-01-2003"
"GM0090", "Smallingerland", "Begindatum voor 1830"
"GM0342", "Soest", "Begindatum voor 1830"
"GM0847", "Someren", "Begindatum voor 1830"
"GM0848", "Son en Breugel", "Begindatum voor 1830"
"GM0612", "Spijkenisse", "Opgeheven per 01-01-2015. <br>Begindatum voor 1830"
"GM0037", "Stadskanaal", "Ontstaan per 01-01-1969"
"GM0180", "Staphorst", "Begindatum voor 1830"
"GM0532", "Stede Broec", "Ontstaan per 01-01-1979"
"GM0851", "Steenbergen", "Gemeentelijke herindeling per 01-01-1997. <br>Naamswijziging per 25-06-1962"
"GM1708", "Steenwijkerland", "Naamswijziging per 01-01-2003"
"GM0971", "Stein (L.)", "Begindatum 02-01-1839"
"GM1904", "Stichtse Vecht", "Ontstaan per 01-01-2011"
"GM0617", "Strijen", "Begindatum voor 1830"
"GM1900", "Súdwest-Fryslân", "Ontstaan per 01-01-2011"
"GM0715", "Terneuzen", "Gemeentelijke herindeling per 01-01-2003. <br>Begindatum voor 1830"
"GM0093", "Terschelling", "Provinciale wijziging per 01-09-1942. <br>Begindatum voor 1830"
"GM0448", "Texel", "Begindatum voor 1830"
"GM1525", "Teylingen", "Ontstaan per 01-01-2006"
"GM0716", "Tholen", "Gemeentelijke herindeling per 01-01-1995. <br>Begindatum voor 1830"
"GM0281", "Tiel", "Begindatum voor 1830"
"GM0855", "Tilburg", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0183", "Tubbergen", "Begindatum voor 1830"
"GM1700", "Twenterand", "Naamswijziging per 01-06-2002"
"GM1730", "Tynaarlo", "Naamswijziging per 01-12-1999"
"GM0737", "Tytsjerksteradiel", "Naamswijziging per 01-01-1989"
"GM0282", "Ubbergen", "Opgeheven per 01-01-2015. <br>Begindatum voor 1830"
"GM0856", "Uden", "Begindatum voor 1830"
"GM0450", "Uitgeest", "Begindatum voor 1830"
"GM0451", "Uithoorn", "Begindatum voor 1830"
"GM0184", "Urk", "Provinciale wijziging per 01-01-1986. <br>Begindatum voor 1830"
"GM0344", "Utrecht (gemeente)", "Gemeentelijke herindeling per 01-01-2001. <br>Begindatum voor 1830"
"GM1581", "Utrechtse Heuvelrug", "Ontstaan per 01-01-2006"
"GM0981", "Vaals", "Begindatum 02-01-1839"
"GM0994", "Valkenburg aan de Geul", "Ontstaan per 01-01-1982"
"GM0858", "Valkenswaard", "Begindatum voor 1830"
"GM0047", "Veendam", "Begindatum voor 1830"
"GM0345", "Veenendaal", "Begindatum voor 1830"
"GM0717", "Veere", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0860", "Veghel", "Gemeentelijke herindeling per 01-01-1994. <br>Begindatum voor 1830"
"GM0861", "Veldhoven", "Naamswijziging per 01-05-1921"
"GM0453", "Velsen", "Begindatum voor 1830"
"GM0983", "Venlo", "Gemeentelijke herindeling per 01-01-2010. <br>Gemeentelijke herindeling per 01-01-2001. <br>Begindatum 02-01-1839"
"GM0984", "Venray", "Begindatum 02-01-1839"
"GM0620", "Vianen", "Provinciale wijziging per 01-01-2002. <br>Begindatum voor 1830"
"GM0622", "Vlaardingen", "Begindatum voor 1830"
"GM0048", "Vlagtwedde", "Begindatum voor 1830"
"GM0096", "Vlieland", "Provinciale wijziging per 01-09-1942. <br>Begindatum voor 1830"
"GM0718", "Vlissingen", "Begindatum voor 1830"
"GM0623", "Vlist", "Opgeheven per 01-01-2015. <br>Begindatum voor 1830"
"GM0986", "Voerendaal", "Begindatum 02-01-1839"
"GM0626", "Voorschoten", "Begindatum voor 1830"
"GM0285", "Voorst", "Begindatum voor 1830"
"GM0865", "Vught", "Begindatum voor 1830"
"GM0866", "Waalre", "Begindatum voor 1830"
"GM0867", "Waalwijk", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0627", "Waddinxveen", "Begindatum 01-07-1870"
"GM0289", "Wageningen", "Begindatum voor 1830"
"GM0629", "Wassenaar", "Begindatum voor 1830"
"GM0852", "Waterland", "Ontstaan per 01-01-1991"
"GM0988", "Weert", "Gemeentelijke herindeling per 01-01-1998. <br>Begindatum 02-01-1839"
