"cbsId","cbsIdCount","cbsName","cbsComment","cbsShort","cbsShortCount","cbsLong","cbsLongCount"
"GR0622","3","Sociale Dienst Walcheren","Sociale Dienst Walcheren","","","",""
"GR0624","4","Veiligheidsregio Zaanstreek-Waterland","Veiligheidsregio Zaanstreek-Waterland","","","",""
"GR0636","7","Veiligheidsregio Amsterdam Amstelland","Veiligheidsregio Amsterdam Amstelland","","","",""
"GR0640","7","Veiligheidsregio Kennemerland","Veiligheidsregio Kennemerland","","","",""
"GR0644","7","Veiligheidsregio Limburg Noord","Veiligheidsregio Limburg Noord","","","",""
"GR0044","6","Veiligheidsregio Haaglanden","Veiligheidsregio Haaglanden","","","",""
"GR0639","6","Veiligheidsregio Zuidoost-Brabant","Veiligheidsregio Zuidoost-Brabant","","","",""
"GR0660","6","Veiligheidsregio Zuid-Holland Zuid","Veiligheidsregio Zuid-Holland Zuid","","","",""
"GR0662","6","De Kompanjie","De Kompanjie","","","",""
"GR0663","2","Werkorganisatie DEAL-Gemeenten","Werkorganisatie DEAL-Gemeenten","","","",""
"GR0669","6","Omgevingsdienst Zuid-Holland Zuid","Omgevingsdienst Zuid-Holland Zuid","","","",""
"GR0076","4","Brandweer Zuid Limburg","Brandweer Zuid Limburg","","","",""
"GR0084","2","Groningen Seaports","Groningen Seaports","","","",""
"GR0358","5","GGD Brabant Zuidoost","GGD Brabant Zuidoost","","","",""
"GR0440","1","Sociale Werkvoorziening Zeist","Sociale Werkvoorziening Zeist","","","",""
"GR0447","5","Avalex Regionaal Reinigingsbedrijf","Avalex Regionaal Reinigingsbedrijf","","","",""
"GR0460","5","Veiligheidsregio Fryslân","Veiligheidsregio Fryslân","","","",""
"GR0461","5","Intergem. Sociale Dienst Bollenstreek","Intergem. Sociale Dienst Bollenstreek","","","",""
"GR0511","5","Werkvoorzieningschap Noordoost-Brabant","Werkvoorzieningschap Noordoost-Brabant","","","",""
"GR0518","5","Veiligheidsregio Gelderland Zuid","Veiligheidsregio Gelderland Zuid","","","",""
"GR0522","5","Regionale Dienst Openbare Gezondheidsz..","Regionale Dienst Openbare Gezondheidszorg Hollands Midden (RDOG)","","","",""
"GR0526","2","Grondbank RZG Zuidplas","Grondbank RZG Zuidplas","","","",""
"GR0544","5","Vixia","Vixia","","","",""
"GR0682","1","GR Samenwerking De Liemers","GR Samenwerking De Liemers","","","",""
"GR0695","4","Baanbrekers","Baanbrekers","","","",""
"GR0698","4","AQUON","AQUON","","","",""
"GR0700","3","Omgevingsdienst Haaglanden","Omgevingsdienst Haaglanden","","","",""
"GR0701","4","Bestuursdienst Ommen-Hardenberg","Bestuursdienst Ommen-Hardenberg","","","",""
"GR0702","4","Waddenfonds","Waddenfonds","","","",""
"GR0703","4","Orionis Walcheren","Orionis Walcheren","","","",""
"GR0710","4","RDWI Kromme Rijn Heuvelrug","RDWI Kromme Rijn Heuvelrug","","","",""
"GR0066","3","Veiligheidsregio Brabant-Noord","Veiligheidsregio Brabant-Noord","","","",""
"GR0098","2","Havenschap Moerdijk","Havenschap Moerdijk","","","",""
"GR0137","3","Samenwerkingsverband Welzijnzorg Ooste..","Samenwerkingsverband Welzijnzorg Oosterschelde Regio","","","",""
"GR0244","3","Sallcon GR","Sallcon GR","","","",""
"GR0264","3","IJmond Werkt!","IJmond Werkt!","","","",""
"GR0270","2","Werkvoorzieningsschap Avelingen Groep","Werkvoorzieningsschap Avelingen Groep","","","",""
"GR0285","3","Werkvoorzieningschap Aanvullende Arbei..","Werkvoorzieningschap Aanvullende Arbeid Venlo Eo","","","",""
"GR0340","3","GGD Hollands Noorden","GGD Hollands Noorden","","","",""
"GR0444","3","GGD Midden-Nederland","GGD Midden-Nederland","","","",""
"GR0497","3","Veiligheidsregio Midden en West-Brabant","Veiligheidsregio Midden en West-Brabant","","","",""
"GR0525","3","Veiligheidsregio Noord- en Oost-Gelder..","Veiligheidsregio Noord- en Oost-Gelderland","","","",""
"GR0552","3","Gezamelijke Brandweer","Gezamelijke Brandweer","","","",""
"GR0579","3","ISD Veluwerand","ISD Veluwerand","","","",""
"GR0605","3","ISD Optimisd","ISD Optimisd","","","",""
"GR0638","3","Veiligheidsregio Flevoland","Veiligheidsregio Flevoland","","","",""
"GR0645","3","Sociale Dienst Oost Achterhoek","Sociale Dienst Oost Achterhoek","","","",""
"GR0666","3","GR Het Plein","GR Het Plein","","","",""
"GR0676","3","Veiligheidsregio Hollands Midden","Veiligheidsregio Hollands Midden","","","",""
"GR0681","3","Werk-/Leerbedrijf NoardEast Fryslân (N..","Werk-/Leerbedrijf NoardEast Fryslân (N..","","","",""
"GR0705","3","Noaberkracht Dinkelland Tubbergen","Noaberkracht Dinkelland Tubbergen","","","",""
"GR0708","3","RAV Brabant Midden-West-Noord","RAV Brabant Midden-West-Noord","","","",""
"GR0712","3","Omgevingsdienst Midden en West-Brabant","Omgevingsdienst Midden en West-Brabant","","","",""
"GR0713","3","Omgevingsdienst Midden-Holland","Omgevingsdienst Midden-Holland","","","",""
"GR0714","3","Werkorganisatie Duivenvoorde","Werkorganisatie Duivenvoorde","","","",""
"GR0828","3","BAR-ORGANISATIE","BAR-ORGANISATIE","","","",""
"GR0834","3","Werkorganisatie CGM","Werkorganisatie CGM","","","",""
"GR0266","2","WerkSaam Westfriesland","WerkSaam Westfriesland","","","",""
"GR0829","2","Gemeenschappelijke Regeling IJsselgeme..","Gemeenschappelijke Regeling IJsselgemeenten","","","",""
"GR0830","2","Metropoolregio Rotterdam Den Haag","Metropoolregio Rotterdam Den Haag","","","",""
"GR0831","2","Gemeenschappelijke Regeling Metropoolr..","Gemeenschappelijke Regeling Metropoolregio Eindhoven","","","",""
"GR0832","2","Samenwerkingsorganisatie De Wolden Hoo..","Samenwerkingsorganisatie De Wolden Hoogeveen","","","",""
"GR0833","2","SED organisatie","SED organisatie","","","",""
"GR0835","2","Gemeenschappelijke Regeling Hart van B..","Gemeenschappelijke Regeling Hart van Brabant","","","",""
"GM1945","1","Berg en Dal","Naamswijziging per 01-01-2016","","","",""
