Datum aanvraag,Consent nummer,Aantal,Goederen omschrijving,land van herkomst,land van bestemming (**),Ad-hoc J/N (***),VP/AN (****),Vervoermiddel,Plaats van uitgang
07/10/2008,27899706,2,Kogelgeweren kal. .416 en kal. .300 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27917607,2,Kogelgeweren kal. .416 en kal. .300 ,Italië,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27921035,3,"Kogelgeweren kal. .416 Rigby,  kal. .300  en kal. .308",Canada,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27921043,2,Kogelgeweren kal. .416/.500 en kal. .375 plus 5 kg patronen,Canada,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27884016,2,Kogelgeweren kal. .458 en kal. .300 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27899587,3,"Kogelgeweren kal. .500-465, kal .416 en kal. .300 ",Italië,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27769837,2,Kogelgeweren kal. 7mm  en kal. .300 ,Zuid-Afrika,VS v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27907555,2,"Kogelgeweren kal..300, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,27907512,3,"Kogelgeweren kal.300, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/10/2008,melding,30,Range Finders BD-1 binoculars,Rusland,Cuba,N,,Vliegtuig,Schiphol
07/11/2008,melding,3370 kg,Delen van militaire voertuigen,VS,Qatar,N,,Vliegtuig,Schiphol
07/12/2008,melding,1396 kg,Delen van militaire voertuigen,VS,Irak,N,,Vliegtuig,Schiphol
07/14/2008,27931626,1,Combinatiegeweer kal. .20/.308  en Kogelgeweer kal. 8x57,Tanzania,Duitsland,N,,Vliegtuig,Schiphol
07/14/2008,27932738,4501920,"Patronen 7,62x54",Slowakije,VS,N,,Schip,Rotterdam
07/15/2008,27821227,1,Combinatiegeweer kal. .207/.375 en Kogelgeweer kal. .30-06 ,Canada,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,melding,11,Delen van militaire voertuigen,VS,Irak,N,,Vliegtuig,Schiphol
07/15/2008,27855687,1,Kogelgeweer kal. .270 plus 1 loop kal. .338,VK,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27821103,1,Kogelgeweer kal. .300,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27821200,1,Kogelgeweer kal. .300  plus 60 patronen,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27938175,1,Kogelgeweer kal. .300  plus 80 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27821219,1,Kogelgeweer kal. .300 plus 60 patronen,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27821316,1,Kogelgeweer kal. .30-06  plus 40 patronen,Zweden,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27838200,1,Kogelgeweer kal. .375,Zweden,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27838197,1,Kogelgeweer kal. .375,Zweden,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27852246,1,Kogelgeweer kal. .375  plus 5 kg patronen,Italië,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27872220,1,Kogelgeweer kal. .375  plus 50 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27899498,1,Kogelgeweer kal. .375R  ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27899579,1,Kogelgeweer kal. .416  ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27734286,1,Kogelgeweer kal. .470 NE plus 70 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27821235,1,"Kogelgeweer kal. 11,34x53R  plus 50 patronen",Zweden,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27838169,1,Kogelgeweer kal. 7mm,Zweden,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27852262,1,Kogelgeweer kal. 7mm,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27821308,1,Kogelgeweer kal. 7x63 BR plus 100 patronen,Zweden,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27819036,2,Kogelgeweren kal. .375 en kal. .308 plus 5 kg patronen,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27852270,2,Kogelgeweren kal. .470  en kal. .375 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27925014,2,Kogelgeweren kal. .500 NE en kal. .375 plus 5 kg patronen,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27925022,2,"Kogelgeweren kal..470, kal .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27932835,2,"Kogelgeweren kal..470, kal..300, patronen",VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27734278,60,Patronen kal. .375,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/15/2008,27899188,119400,"Patronen kalibers:.222, .480, .25, .45, .204 ",VS,Duitsland,N,,Schip,Rotterdam
07/15/2008,27904157,110900,Patronen kaliber: 17-458,VS,Frankrijk,N,,Schip,Rotterdam
07/15/2008,27899161,71400,Patronen/Slaghoedjes,VS,Andorra,N,,Schip,Rotterdam
07/15/2008,27925162,157400,Patronen/Slaghoedjes,VS,Spanje,N,,Schip,Rotterdam
07/15/2008,27935451,5,Pistolen 9mm,VK,Duitsland,N,,Schip/Truck,Rotterdam
07/16/2008,27907474,1,Kogelgeweer kal. .416,Frankrijk,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/16/2008,27944639,2,Kogelgeweren kal. .30-06 en kal. .375  plus 100 patronen,Polen,Zambia v.v.,N,,Vliegtuig,Schiphol
07/16/2008,27885861,2,Kogelgeweren kal. .375 en kal. 7mm,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/16/2008,27944612,2,"Kogelgeweren kal. .470, kal .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27819109,1,Kogelgeweer kal. .375  ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27947999,670,Kogelgeweren 7.62mm,Oekraïne,VS,N,,Schip/Truck,Rotterdam
07/17/2008,27821111,2,Kogelgeweren kal. .300  en kal. .375  ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27904637,2,"Kogelgeweren kal. .416, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27766323,2,"Kogelgeweren kal. .416, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27921094,2,"Kogelgeweren kal. .416, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27766331,2,"Kogelgeweren kal. .416, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,27921027,3000000,"Patronen kal. 7,62x51 en 5,56x45",Servië,Chili,N,,Schip/Trein,Rotterdam
07/17/2008,27944523,4,Pistolen kal. .40 3x en kal. 9mm,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/17/2008,melding,36517 kg,Verf,VS,Qatar,N,,Vliegtuig,Schiphol
07/18/2008,27734308,1,Combinatiegeweer kal. 12/.308  ,Noorwegen,Canada v.v.,N,,Vliegtuig,Schiphol
07/18/2008,melding,2761 kg,Delen van militaire voertuigen,VS,Qatar,N,,Vliegtuig,Schiphol
07/18/2008,27899544,1,Kogelgeweer kal. .375,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27956807,1,Kogelgeweer kal. .375 ,Hongarije,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953417,1,Kogelgeweer kal. .375 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27899501,1,Kogelgeweer kal. .376 ,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27899528,1,Kogelgeweer kal. .416,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27899536,1,Kogelgeweer kal. .416,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953506,1,Kogelgeweer kal. .416 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953514,1,Kogelgeweer kal. .500 NE plus 80 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27956785,2,Kogelgeweren kal. .270 en kal. .375R  ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27956793,2,Kogelgeweren kal. .300  en kal. .416  ,Hongarije,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953425,2,Kogelgeweren kal. .375  en kal. .458 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953522,3,"Kogelgeweren kal. .375, kal..300, kal. .416, patronen",Frankrijk,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27956750,2,Kogelgeweren kal. .375 en kal. .416,Mexico,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27899293,3,"Kogelgeweren kal. .450, kal. .300, kal. .22, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953123,2,"Kogelgeweren kal. 7x63, kal. 9,5x72, patronen",Zweden,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953212,2,"Kogelgeweren kal..30, kal..375 + patronen",Zweden,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27899471,3,"Kogelgeweren kal..375, kal..300, kal. .243, kaliber",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27953093,3,"Kogelgeweren kal..375, patronen kal..300, kal. .375/550 ",Frankrijk,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/18/2008,27949932,3,Lopen (2 st) en machinegeweer,VK,Duitsland,N,,Schip/Truck,Rotterdam
07/18/2008,27953530,131,"Machinegeweren, granaatwerpers, kogelgeweren, toebehoren",VK,Duitsland,N,,Schip/Truck,Rotterdam
07/18/2008,27928536,40071000,Patronen en slaghoedjes,VS,Duitsland,N,,Schip,Rotterdam
07/18/2008,27928528,38590,Shock tubes en detonators,Spanje,Maleisië,N,,Schip,Rotterdam
07/19/2008,melding,2,Delen van militaire voertuigen,VS,Qatar,N,,Vliegtuig,Schiphol
07/19/2008,melding,225 kg,Delen van militaire voertuigen en verf,VS,"Qatar, Sharjah",N,,Vliegtuig,Schiphol
07/21/2008,melding,36,Delen van Pandur pantservoertuigen,Oostenrijk,Portugal,N,,Schip/Truck,Venlo/R'dam
07/21/2008,27928374,1,Kogelgeweer kal. .300 ,België,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/21/2008,27928382,2,Kogelgeweren kal. .300 ,België,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/21/2008,27947166,1360000,"Patronen kal. 5,56x45",Servië,VS,N,,Schip/Trein,Rotterdam
07/21/2008,27963587,100,Rookgranaten 66mm,Duitsland,VK,N,,Schip/Truck,Rotterdam
07/22/2008,27899595,1,Kogelgeweer kal. .300  plus 60 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27947956,1,Kogelgeweer kal. .30-06  plus 5 kg patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27781179,1,Kogelgeweer kal. .308  en 1 loop kal. .375 ,VK,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27953395,1,"Kogelgeweer kal. .375, patronen kal. .300",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27953409,1,Kogelgeweer kal. 7mm + 80 patronen en 20 patronen kal. .300,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27953085,1,Kogelgeweer kal. 7x57R,Noorwegen,Duitsland,N,,Vliegtuig,Schiphol
07/22/2008,27963676,2,Kogelgeweren kal. .270 en kal. .375R ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27797253,2,Kogelgeweren kal. .300  en kal. .416 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27963684,2,"Kogelgeweren kal. .300, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27781187,2,Kogelgeweren kal. .30-06  en kal. .375,VK,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27754872,2,Kogelgeweren kal. .458 en kal. .300,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27953204,2,"Kogelgeweren kal. .470, kal .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27953387,2,Kogelgeweren kal. .577 en kal. .375 plus 5 kg patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27963781,2,Kogelgeweren kal. 8x68S en kal. .404,Italië,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/22/2008,27953948,8006,Ladingen voor projectielen,VK,België,N,,Schip/Truck,Rotterdam
07/22/2008,27948014,2990,Patronen  kal. 20mm,België,Indonesië,N,,Vliegtuig,Schiphol
07/22/2008,27963889,2400000,"Patronen 5,56 mm",VS,Georgië,N,,Vliegtuig,Schiphol
07/22/2008,27964354,2400000,"Patronen 5,56 mm",VS,Georgië,N,,Vliegtuig,Schiphol
07/22/2008,27964346,2400000,"Patronen 5,56 mm",VS,Georgië,N,,Vliegtuig,Schiphol
07/22/2008,27821057,1,Pistool kal. 9x19mm,Noorwegen,Turkije v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27956319,25537,Delen van munitie,Israël,VS,N,,Vliegtuig,Schiphol
07/23/2008,27972578,1,"Kogelgeweer kal. .22, patronen kal. .30-06, .243 ",Noorwegen,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27956777,1,Kogelgeweer kal. .243  plus 5 kg patronen en 1 kruisboog,VS,Zuid-Afrika v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27956823,1,Kogelgeweren kal. .300  plus 5 kg patronen ,IJsland,VS v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27819095,2,Kogelgeweren kal. .300 en kal. .450,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27953301,1,Kogelgeweren kal. .30-06  plus 20 patronen ,IJsland,VS v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27953379,1,Kogelgeweren kal. .30-06  plus 20 patronen ,IJsland,VS v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27824781,2,Kogelgeweren kal. .416  plus en kal. .375  ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27963854,2,"Kogelgeweren kal. .470, kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27972608,2,"Kogelgeweren kal. 8mm, en kal. .375, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27963188,9975,Ontstekers,Duitsland,Singapore,N,,Schip,Rotterdam
07/23/2008,27972675,200,"Patronen kal. .375  en kal. 7,65 mm",Noorwegen,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/23/2008,27938132,1750,Signaalpatronen en ontstekers,Duitsland,Canada,N,,Truck/Vliegtuig,Schiphol
07/24/2008,melding,795  kg,Delen voor militaire voertuigen,VS,Irak,N,,Vliegtuig,Schiphol
07/24/2008,melding,241,Delen voor militaire voertuigen,VS,Irak,N,,Vliegtuig,Schiphol
07/24/2008,27976409,1,Kogelgeweer kal. .300  plus 100 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/24/2008,27976417,1,Kogelgeweer kal. .30-06 ,Polen,Canada,N,,Vliegtuig,Schiphol
07/24/2008,27982786,6800000,Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
07/24/2008,27981895,16,Machinegeweren en standaards,Duitsland,VK,N,,Vliegtuig,Schiphol
07/25/2008,27985823,1196,Hulzen,Israël,VS,N,,Vliegtuig,Schiphol
07/25/2008,27766315,1,Kogelgeweer kal. .300  plus 80 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27744800,1,Kogelgeweer kal. .375,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27734251,1,Kogelgeweer kal. .375 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27963773,1,Kogelgeweer kal. .375 plus 5 kg patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27953190,1,Kogelgeweer kal. .375 patronen kal. 12,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27904521,1,Kogelgeweer kal. 8x68S,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27886078,2,Kogelgeweren kal. .330 en kal. .470 NE,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27953239,2,Kogelgeweren kal. .340  en kal. .416 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27956297,2,Kogelgeweren kal. .375  en kal. .416 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27899315,2,Kogelgeweren kal. .375  en kal. .470 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27978215,2,Kogelgeweren kal. .375 en kal. .416  plus patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27904548,2,Kogelgeweren kal. .375 en kal. 8x68S  ,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27885918,2,"Kogelgeweren kal. .375, kal. 7mm, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27978401,2,"Kogelgeweren kal. .416, kal. .300, patronen",Mexico,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27978428,2,"Kogelgeweren kal. .416, en kal. .300, 70 patronen",Mexico,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27885896,2,"Kogelgeweren kal. .416, kal. 450, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,27978436,2,"Kogelgeweren kal. .416, kal. .300, patronen",Mexico,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/25/2008,2798 5866,350,Ontstekers,VS,Israël,N,,Vliegtuig,Schiphol
07/25/2008,27985858,450,Ontstekers,VS,Israël,N,,Vliegtuig,Schiphol
07/25/2008,2798 2115,540,Sound- & Flashgrenades,Duitsland,VS,N,,Vliegtuig,Schiphol
07/26/2008,melding,76,Onderdelen militaire voertuigen,VS,"Irak, via Sharjah",N,,Vliegtuig,Schiphol
07/28/2008,27989292,76,"Machinegeweren, kogelgeweren en pistolen",VK,Duitsland,N,,Schip/Truck,Rotterdam
07/28/2008,27947921,5000,Ontstekers,Singapore,Brazilië,N,,Vliegtuig,Schiphol
07/28/2008,27981887,225000,Patronen kal. .32/ .36,Spanje,Paraguay,N,,Schip,Rotterdam
07/28/2008,27976263,783620,Patronen kal.375/.308,VS,Duitsland,N,,Schip,Rotterdam
07/28/2008,27981844,52000,Slagpijpjes./Ontstekers,VK,Duitsland,N,,Schip/Truck,Rotterdam
07/28/2008,27989292,77,"11 machinegeweren, 63 kogelgeweren en 3 pistolen",VK,Duitsland,N,,Vliegtuig,Schiphol
07/29/2008,27982921,1,Kogelgeweer kal. .270,Finland,Zambia v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27994237,1,Kogelgeweer kal. .300,Noorwegen,Duitsland,N,,Vliegtuig,Schiphol
07/29/2008,27994202,1,Kogelgeweer kal. .375 ,België,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27994199,1,Kogelgeweer kal. .375 ,België,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27978207,1,Kogelgeweer kal. .458 plus 5 kg patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27917631,1,Kogelgeweer kal. 7mm ,Denemarken,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27824773,4,"Kogelgeweren kal. .240 , .375, .375 en 7mm, patronen",Brazilië,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27982964,3,Kogelgeweren kal. .300  en 2x  kal. .416 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27978223,3,"Kogelgeweren kal. .300 , kal. .375, kal. .416, 5 kg patronen",België,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27994180,2,Kogelgeweren kal. .300 en kal. .270,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27885802,2,Kogelgeweren kal. .300 en kal. .375 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27917623,2,Kogelgeweren kal. .375  en kal. 7mm ,Denemarken,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27899552,2,Kogelgeweren kal. .458 Lott en kal. .375 plus 93 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27729606,3,"Kogelgeweren kal. 300 , kal. .470 en kal. .458 +120 patronen ",Duitsland,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27964370,3,"Kogelgeweren kal. 8x68 mm, kal. .470, kal. .416, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,27992919,3,"Kogelgeweren kal..30-06, kal. .500  kal. .300, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/29/2008,melding,8,Onderdelen militaire voertuigen,VS,Qatar,N,,Vliegtuig,Schiphol
07/29/2008,melding,1,Transmitter,Irak ,VS,N,,Vliegtuig,Schiphol
07/30/2008,27998682,1,Kogelgeweer kal. .270 ,Noorwegen,Duitsland,N,,Vliegtuig,Schiphol
07/30/2008,27821146,1,Kogelgeweer kal. .375,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27978312,1,Kogelgeweer kal. .375R ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998852,1,Kogelgeweer kal. .470,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998844,1,Kogelgeweer kal. 7x64mm,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998674,2,"Kogelgeweren kal. .300, kal. .416, patronen",Mexico,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27921108,2,Kogelgeweren kal. .375  en kal. .270 Rem,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27907482,2,Kogelgeweren kal. .375  en kal. .500-465 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27828663,2,Kogelgeweren kal. .375  en kal. 7mm ,Italië,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27953182,2,"Kogelgeweren kal. .375, kal. 416, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998666,2,"Kogelgeweren kal. .375, kal. .300, patronen",Mexico,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998739,2,Kogelgeweren kal. .375 en kal. .300 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27917577,2,Kogelgeweren kal. .416  en kal. .308,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27885888,2,"Kogelgeweren kal. .416, kal. 450/400, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998836,2,Kogelgeweren kal. .416 en kal. .30-06 ,Spanje,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27998720,2,Kogelgeweren kal. .416 Rigby en kal. .300 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27953271,2,Kogelgeweren kal. .416 Rigby en kal. .340 ,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/30/2008,27984681,34560,Ontstekers,Zwitserland,VK,N,,Schip/Truck,Rotterdam
07/30/2008,27976255,572800,Patronen kal. .222 Rem/.308,VS,Bulgarije,N,,Schip,Rotterdam
07/30/2008,27998879,1,Pistool kal. 9x19mm,Zweden,Tsjechië v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27953131,1,Kogelgeweer kal. .375  plus 80 patronen,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,28005830,1,Kogelgeweer kal. 7mm ,Noorwegen,Duitsland,N,,Vliegtuig,Schiphol
07/31/2008,27766358,2,Kogelgeweren kal. .300  en kal. .416,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27899560,2,"Kogelgeweren kal. .35, kal. .416, patronen",VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27958591,2,Kogelgeweren kal. .375  en kal. .300 ,Spanje,VS v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27885764,3,Kogelgeweren kal. .375 2x en kal. .416,VS,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27953077,2,Kogelgeweren kal. .404 en kal. .300,Oostenrijk,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27953069,2,Kogelgeweren kal. .416  en kal. .300 ,Oostenrijk,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,melding,12,Onderdelen militaire voertuigen,VS,Irak,N,,Vliegtuig,Schiphol
07/31/2008,28003900,120,"Patronen , kal. .416, 8x68, .47 ",Italië,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,28005725,1,Pistool kal. .45,Finland,Tanzania v.v.,N,,Vliegtuig,Schiphol
07/31/2008,27821049,3,"Revolvers kal. .357, pistool kal. 9x19 mm, patronen",Zweden,Tsjechië v.v.,N,,Vliegtuig,Schiphol
08/01/2008,melding,1,Warmtebeeldcamera,Colombia,Israël,N,,Vliegtuig,Schiphol
08/01/2008,melding,1,Deel van een voertuig,VS,Irak,N,,Vliegtuig,Schiphol
08/01/2008,melding,3,Delen van voertuigen,VS,Irak,N,,Vliegtuig,Schiphol
08/01/2008,melding,4,Delen van voertuigen,VS,irak,N,,Vliegtuig,Schiphol
08/01/2008,melding,14,11 modellen van geleide projectielen + 1 model mini-UAV + 2 pilotenhelmen incl. nachtzichtapparatuur (retour van Air Show),Colombia,Israël,N,,Vliegtuig,Schiphol
08/01/2008,28003846,324340,"Patronen ,kal: div. t/m .50",België,Denemarken,N,,Truck,Niet bekend
08/01/2008,28003870,16,"Patronen kaliber: 5,56 x 45 Nato ",VS,Noorwegen,N,,Vliegtuig,Schiphol
08/01/2008,28002300,2700,Rookbommen kal. 60mm,Zuid-Afrika,Ierland,N,,Schip,Rotterdam
08/01/2008,melding,1,Transmitter,VS,Irak,N,,Vliegtuig,Schiphol
08/04/2008,melding,3,Delen van motoren voor helikopters en radardeel,Irak  ,VS,N,,Vliegtuig,Schiphol
08/04/2008,melding,20,Delen van voertuigen,VS,"Irak, via Sharjah",N,,Vliegtuig,Schiphol
08/04/2008,melding,36,Delen van voertuigen,VS,"Irak, via Sharjah",N,,Vliegtuig,Schiphol
08/04/2008,28008961,1,Kogelgeweer kal. .22 plus 5 kg patronen,Ierland,Zweden v.v.,N,,Vliegtuig,Schiphol
