Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
11/08/2007,27305245,1C450b1,Ammoniumpolyfosfaat,Tbv de textielindustrie,D,Turkije,Onbekend,"150,000",11/30/2008
11/12/2007,27365698,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,T,Kroatië,Onbekend,"2,895",11/30/2008
11/12/2007,27366074,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Rusland,Onbekend,"400,000",11/30/2008
11/13/2007,27310338,1C350-24,Waterstoffluoride,Vervaardiging van microchips,D,Verenigde Arabische Emiraten,Onbekend,"6,530",11/30/2008
11/13/2007,27370888,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv defensie,D,Zuid-Korea,Onbekend,"259,720",11/30/2008
11/14/2007,27354238,1C350-02,Fosforoxychloride,Vervaardiging van fenol-harsen,D,Brazilië,Onbekend,"48,825",11/30/2008
11/14/2007,27311849,3A233a,Spectrometer,Onderzoek van water- en bodemmonsters,D,Rusland,Onbekend,"199,956",11/30/2008
11/14/2007,27311881,3A233a,Spectrometer,Onderzoek,D,Rusland,Onbekend,"76,518",11/30/2008
11/14/2007,27311903,3A233a,Spectrometer,Demonstratie tbv diverse klanten,D,Turkije,Onbekend,"80,923",11/30/2008
11/14/2007,27322824,6A003b4,Camera's,Surveillance en beveiligingsdoeleinden (grensbewaking),D,Hongkong,Onbekend,"130,209",11/30/2008
11/14/2007,27322832,6A003b4,Camera's,Surveillance en beveiligingsdoeleinden (grensbewaking),D,Hongkong,Onbekend,"25,701",11/30/2008
11/15/2007,27374492,0C001,Uraniumhexafluoride,Uraniumverrijking,D,Rusland,Onbekend,"1,081,927",11/30/2008
11/16/2007,27368514,3A233a,Spectrometer,Onderzoek van water- en bodemmonsters,D,Zuid-Afrika,Onbekend,"87,989",11/30/2008
11/19/2007,27328911,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (landmacht),T,Turkije,Onbekend,"3,000",11/30/2008
11/20/2007,27374417,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk,Onbekend,"25,411,690",11/30/2008
11/20/2007,27374409,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigde Staten van Amerika,Onbekend,"2,541,169",11/30/2008
11/20/2007,27377068,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv defensie,D,Zuid Korea via Frankrijk,Onbekend,"501,266",11/30/2008
11/23/2007,27379885,2B350i,Pompen (onderdelen voor),Verpompen van chloor,D,Venezuela,Onbekend,"14,142",11/30/2008
11/23/2007,27379893,2B350i,Pompen (onderdelen voor),Verpompen van chloor,D,Venezuela,Onbekend,"16,338",11/30/2008
11/23/2007,27323464,3A233a,Spectrometer,Onderzoek van water- en bodemmonsters,D,Kenia,Onbekend,"70,923",11/30/2008
11/26/2007,27381952,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (luchtmacht),D,Thailand,Onbekend,"11,250",11/30/2008
11/27/2007,27379877,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigd Koninkrijk,Onbekend,"7,671,949",11/30/2008
11/27/2007,27374433,1C350-02,Fosforoxychloride,Vervaardiging van UV-absorberende stof,D,Zuid-Korea,Onbekend,"152,701",11/30/2010
11/28/2007,27395066,1C350-46,Triethanolamine,Verwerking in cement,D,Ijsland,Onbekend,"38,340",11/30/2008
11/28/2007,27369529,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Reparatie en onderhoud,T,China,Onbekend,"7,728",11/30/2008
11/28/2007,27389899,7A003a,Traagheidsnavigatiesystemen,"Aanleggen van pijpleidingen, wegen en spoorlijnen",T,Algerije,Onbekend,"50,089",11/30/2008
11/30/2007,27394469,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Oman,Onbekend,"1,102",11/30/2008
12/04/2007,27400256,2B206,Meetapparatuur,Tbv de kunststofindustrie,D,Verenigde Staten van Amerika,Onbekend,"92,558",12/31/2008
12/04/2007,27403638,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie tbv militair gebruik,T,Maleisië,Onbekend,"3,000",12/31/2008
12/04/2007,27408974,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (luchtmacht),D,Thailand,Onbekend,"11,250",11/30/2008
12/04/2007,27399037,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv politie,D,Zuid-Afrika,Onbekend,"28,100",12/31/2008
12/04/2007,27403646,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv de kustwacht,T,Zuid-Korea,Onbekend,"1,687",12/31/2008
12/04/2007,27389821,6A003b4,Camera's,Surveillance en beveiligingsdoeleinden (Olympische Spelen 2008),D,China,Onbekend,"133,377",31-12-2008
12/06/2007,27409601,1C350-02,Fosforoxychloride,Vervaardiging van hydrogene zetmeelfosfaten,D,Brazilië,Onbekend,"9,300",11/30/2008
12/06/2007,27409652,1C350-47,Fosforpentasulfide,Tbv de mijnbouw,D,Zuid-Afrika,Onbekend,"299,789",11/30/2008
12/06/2007,27405630,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (luchtmacht),D,VS via Israël,Onbekend,"5,000",12/31/2008
12/06/2007,27369510,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv defensie,D,Thailand via VK,Onbekend,"47,600",12/31/2008
12/10/2007,27357776,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie tbv militair gebruik,T,Koeweit,Onbekend,"4,500",12/31/2008
12/11/2007,27423698,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Wereld muv gevoelige landen,Onbekend,"100,000,000",03/31/2008
12/11/2007,27404308,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (havens en luchthavens - civiel),D,China,Onbekend,"11,400",12/31/2008
12/11/2007,27415261,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,T,Kroatië,Onbekend,"2,895",12/31/2008
12/11/2007,27415288,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Kroatië,Onbekend,"9,590",12/31/2008
12/12/2007,27419232,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk,Onbekend,"32,200,000",12/31/2008
12/14/2007,27419569,1C350-38,Fosforpentachloride,Vervaardiging van geneesmiddelen,D,Zuid-Korea,Onbekend,"204,497",12/31/2010
